
ReFS Object ID Table

Total objects: 250

  OID      Name                             Root LCN
  0x7f2    Directory/File (0x7f2)            0x13830
  0x7f3    Directory/File (0x7f3)            0x11018
  0x7f4    Directory/File (0x7f4)            0x11c0c
  0x7f5    Directory/File (0x7f5)            0x12634
  0x7f7    Directory/File (0x7f7)            0x10a1c
  0x7f8    Directory/File (0x7f8)            0x12240
  0x7f9    Directory/File (0x7f9)            0x10e1c
  0x7fa    Directory/File (0x7fa)            0x13a44
  0x7fb    Directory/File (0x7fb)            0x10060
  0x7fc    Directory/File (0x7fc)            0x13e34
  0x7fd    Directory/File (0x7fd)            0x10c1c
  0x7ff    Directory/File (0x7ff)            0x13a4c
  0x800    Directory/File (0x800)            0x11010
  0x801    Directory/File (0x801)            0x12c3c
  0x802    Directory/File (0x802)            0x10c20
  0x803    Directory/File (0x803)            0x1263c
  0x804    Directory/File (0x804)            0x11c34
  0x805    Directory/File (0x805)            0x12414
  0x806    Directory/File (0x806)            0x1201c
  0x807    Directory/File (0x807)            0x11438
  0x808    Directory/File (0x808)            0x1101c
  0x809    Directory/File (0x809)            0x1102c
  0x80a    Directory/File (0x80a)            0x1181c
  0x80b    Directory/File (0x80b)            0x11e38
  0x80c    Directory/File (0x80c)            0x12c44
  0x80d    Directory/File (0x80d)            0x12024
  0x80e    Directory/File (0x80e)            0x11210
  0x80f    Directory/File (0x80f)            0x10420
  0x810    Directory/File (0x810)            0x10424
  0x811    Directory/File (0x811)            0x1242c
  0x812    Directory/File (0x812)            0x1202c
  0x813    Directory/File (0x813)            0x12a38
  0x814    Directory/File (0x814)            0x11440
  0x815    Directory/File (0x815)            0x13424
  0x816    Directory/File (0x816)            0x10e28
  0x817    Directory/File (0x817)            0x12e30
  0x818    Directory/File (0x818)            0x12a0c
  0x819    Directory/File (0x819)            0x13c38
  0x81a    Directory/File (0x81a)            0x12028
  0x81b    Directory/File (0x81b)            0x10438
  0x81c    Directory/File (0x81c)            0x10e50
  0x81d    Directory/File (0x81d)            0x10650
  0x81e    Directory/File (0x81e)            0x13234
  0x81f    Directory/File (0x81f)            0x1303c
  0x820    Directory/File (0x820)            0x11e4c
  0x821    Directory/File (0x821)            0x11820
  0x822    Directory/File (0x822)            0x12628
  0x824    Directory/File (0x824)            0x12818
  0x826    Directory/File (0x826)            0x10a4c
  0x828    Directory/File (0x828)            0x13e30
  0x829    Directory/File (0x829)            0x13040
  0x82a    Directory/File (0x82a)            0x10084
  0x82d    Directory/File (0x82d)            0x13a2c
  0x82f    Directory/File (0x82f)            0x11830
  0x830    Directory/File (0x830)            0x1363c
  0x831    Directory/File (0x831)            0x1224c
  0x832    Directory/File (0x832)            0x13438
  0x835    Directory/File (0x835)            0x11a28
  0x836    Directory/File (0x836)            0x11034
  0x838    Directory/File (0x838)            0x10070
  0x83a    Directory/File (0x83a)            0x11450
  0x83c    Directory/File (0x83c)            0x12234
  0x840    Directory/File (0x840)            0x12470
  0x841    Directory/File (0x841)            0x12e34
  0x843    Directory/File (0x843)            0x13e3c
  0x846    Directory/File (0x846)            0x10c10
  0x847    Directory/File (0x847)            0x10a50
  0x848    Directory/File (0x848)            0x13238
  0x84a    Directory/File (0x84a)            0x1006c
  0x84c    Directory/File (0x84c)            0x12840
  0x84f    Directory/File (0x84f)            0x10414
  0x851    Directory/File (0x851)            0x13418
  0x853    Directory/File (0x853)            0x11640
  0x855    Directory/File (0x855)            0x12a5c
  0x856    Directory/File (0x856)            0x10c28
  0x857    Directory/File (0x857)            0x11044
  0x859    Directory/File (0x859)            0x1120c
  0x85c    Directory/File (0x85c)            0x12a28
  0x85e    Directory/File (0x85e)            0x13824
  0x85f    Directory/File (0x85f)            0x1382c
  0x860    Directory/File (0x860)            0x12c4c
  0x861    Directory/File (0x861)            0x11834
  0x862    Directory/File (0x862)            0x10244
  0x863    Directory/File (0x863)            0x11234
  0x864    Directory/File (0x864)            0x10a54
  0x865    Directory/File (0x865)            0x11048
  0x866    Directory/File (0x866)            0x10c18
  0x868    Directory/File (0x868)            0x1007c
  0x869    Directory/File (0x869)            0x10e54
  0x86a    Directory/File (0x86a)            0x11434
  0x86b    Directory/File (0x86b)            0x11e3c
  0x86c    Directory/File (0x86c)            0x11c58
  0x86d    Directory/File (0x86d)            0x10e44
  0x86e    Directory/File (0x86e)            0x13838
  0x86f    Directory/File (0x86f)            0x13a34
  0x870    Directory/File (0x870)            0x13a60
  0x871    Directory/File (0x871)            0x1103c
  0x872    Directory/File (0x872)            0x11a40
  0x873    Directory/File (0x873)            0x1024c
  0x874    Directory/File (0x874)            0x12c50
  0x875    Directory/File (0x875)            0x12824
  0x877    Directory/File (0x877)            0x12c58
  0x879    Directory/File (0x879)            0x10644
  0x87a    Directory/File (0x87a)            0x13a58
  0x87b    Directory/File (0x87b)            0x10c30
  0x87c    Directory/File (0x87c)            0x1080c
  0x87d    Directory/File (0x87d)            0x11448
  0x87e    Directory/File (0x87e)            0x10e48
  0x87f    Directory/File (0x87f)            0x1261c
  0x880    Directory/File (0x880)            0x10e4c
  0x881    Directory/File (0x881)            0x13030
  0x882    Directory/File (0x882)            0x10820
  0x883    Directory/File (0x883)            0x1283c
  0x884    Directory/File (0x884)            0x11c68
  0x885    Directory/File (0x885)            0x13a64
  0x886    Directory/File (0x886)            0x10434
  0x887    Directory/File (0x887)            0x12248
