==============================================================================
ReFS Object ID Table
==============================================================================
  Image:            win11refstestmftecmd.raw
  Partition start:  0x1000000
  Cluster size:     0x1000
  ReFS version:     3.14
  CPC:              0x4000 (shift=15)
  Container entries:63
  OID Table root:   [0x13c04, 0x13c05, 0x13c06, 0x13c07]
  OID Table phys:   [0x3c04, 0x3c05, 0x3c06, 0x3c07]

Total objects: 250

  OID      Name                             Root LCN Physical LCN    Sig Extra
  ----------------------------------------------------------------------------
    Absolute:   0x3800000
    Signature:  MSB+
    Value size: 88 bytes (standard=80, extra=8)
    u32[0..7]:  0x2 0x0 0x18 0x30 0x50 0x8 0x6c 0x2
    Extra bytes (8):
    00000050  01 00 00 00 00 00 00 00                           ........

  OID 0x705 — Directory/File (0x705)
    Key (raw):  00000000000000000507000000000000
    VLCN tuple: [0x12600, 0x12601, 0x12602, 0x12603]
    PLCN tuple: [0x2600, 0x2601, 0x2602, 0x2603]
    Absolute:   0x3600000
    Signature:  MSB+
    Value size: 88 bytes (standard=80, extra=8)
    u32[0..7]:  0x2 0x0 0x18 0x30 0x50 0x8 0x74 0x2
    Extra bytes (8):
    00000050  01 00 00 00 00 00 00 00                           ........

  OID 0x706 — Directory/File (0x706)
    Key (raw):  00000000000000000607000000000000
    VLCN tuple: [0x12604, 0x12605, 0x12606, 0x12607]
    PLCN tuple: [0x2604, 0x2605, 0x2606, 0x2607]
    Absolute:   0x3604000
    Signature:  MSB+
    Value size: 88 bytes (standard=80, extra=8)
    u32[0..7]:  0x2 0x0 0x18 0x30 0x50 0x8 0x12cd 0x3
    Extra bytes (8):
    00000050  02 00 00 00 00 00 00 00                           ........

  OID 0x73f — Directory/File (0x73f)
    Key (raw):  00000000000000003f07000000000000
    VLCN tuple: [0x13c34, 0x13c35, 0x13c36, 0x13c37]
    PLCN tuple: [0x3c34, 0x3c35, 0x3c36, 0x3c37]
    Absolute:   0x4c34000
    Signature:  MSB+
    Value size: 88 bytes (standard=80, extra=8)
    u32[0..7]:  0x2 0x0 0x18 0x30 0x50 0x8 0x531 0x3
    Extra bytes (8):
    00000050  24 00 00 00 00 00 00 00                           $.......

  OID 0x740 — Directory/File (0x740)
    Key (raw):  00000000000000004007000000000000
    VLCN tuple: [0x11a0c, 0x11a0d, 0x11a0e, 0x11a0f]
    PLCN tuple: [0x1a0c, 0x1a0d, 0x1a0e, 0x1a0f]
    Absolute:   0x2a0c000
    Signature:  MSB+
    Value size: 88 bytes (standard=80, extra=8)
    u32[0..7]:  0x2 0x0 0x18 0x30 0x50 0x8 0x531 0x3
    Extra bytes (8):
    00000050  10 00 00 00 00 00 00 00                           ........

  OID 0x741 — Directory/File (0x741)
    Key (raw):  00000000000000004107000000000000
    VLCN tuple: [0x13c2c, 0x13c2d, 0x13c2e, 0x13c2f]
    PLCN tuple: [0x3c2c, 0x3c2d, 0x3c2e, 0x3c2f]
    Absolute:   0x4c2c000
    Signature:  MSB+
    Value size: 88 bytes (standard=80, extra=8)
    u32[0..7]:  0x2 0x0 0x18 0x30 0x50 0x8 0x531 0x3
    Extra bytes (8):
    00000050  1b 00 00 00 00 00 00 00                           ........

  OID 0x743 — Directory/File (0x743)
    Key (raw):  00000000000000004307000000000000
    VLCN tuple: [0x12c1c, 0x12c1d, 0x12c1e, 0x12c1f]
    PLCN tuple: [0x2c1c, 0x2c1d, 0x2c1e, 0x2c1f]
    Absolute:   0x3c1c000
    Signature:  MSB+
    Value size: 88 bytes (standard=80, extra=8)
    u32[0..7]:  0x2 0x0 0x18 0x30 0x50 0x8 0x531 0x3
    Extra bytes (8):
    00000050  16 00 00 00 00 00 00 00                           ........

  OID 0x744 — Directory/File (0x744)
    Key (raw):  00000000000000004407000000000000
    VLCN tuple: [0x12224, 0x12225, 0x12226, 0x12227]
    PLCN tuple: [0x2224, 0x2225, 0x2226, 0x2227]
    Absolute:   0x3224000
    Signature:  MSB+
    Value size: 88 bytes (standard=80, extra=8)
    u32[0..7]:  0x2 0x0 0x18 0x30 0x50 0x8 0x531 0x3
    Extra bytes (8):
    00000050  16 00 00 00 00 00 00 00                           ........

  OID 0x745 — Directory/File (0x745)
    Key (raw):  00000000000000004507000000000000
    VLCN tuple: [0x1004c, 0x1004d, 0x1004e, 0x1004f]
    PLCN tuple: [0x4c, 0x4d, 0x4e, 0x4f]
    Absolute:   0x104c000
    Signature:  MSB+
    Value size: 88 bytes (standard=80, extra=8)
    u32[0..7]:  0x2 0x0 0x18 0x30 0x50 0x8 0x531 0x3
    Extra bytes (8):
    00000050  03 00 00 00 00 00 00 00                           ........

  OID 0x748 — Directory/File (0x748)
    Key (raw):  00000000000000004807000000000000
    VLCN tuple: [0x13430, 0x13431, 0x13432, 0x13433]
    PLCN tuple: [0x3430, 0x3431, 0x3432, 0x3433]
    Absolute:   0x4430000
    Signature:  MSB+
    Value size: 88 bytes (standard=80, extra=8)
    u32[0..7]:  0x2 0x0 0x18 0x30 0x50 0x8 0x531 0x3
    Extra bytes (8):
    00000050  0c 00 00 00 00 00 00 00                           ........

  OID 0x74a — Directory/File (0x74a)
    Key (raw):  00000000000000004a07000000000000
    VLCN tuple: [0x10a18, 0x10a19, 0x10a1a, 0x10a1b]
    PLCN tuple: [0xa18, 0xa19, 0xa1a, 0xa1b]
    Absolute:   0x1a18000
    Signature:  MSB+
    Value size: 88 bytes (standard=80, extra=8)
    u32[0..7]:  0x2 0x0 0x18 0x30 0x50 0x8 0x51d 0x3
    Extra bytes (8):
    00000050  04 00 00 00 00 00 00 00                           ........

  OID 0x74c — Directory/File (0x74c)
    Key (raw):  00000000000000004c07000000000000
    VLCN tuple: [0x11c14, 0x11c15, 0x11c16, 0x11c17]
    PLCN tuple: [0x1c14, 0x1c15, 0x1c16, 0x1c17]
    Absolute:   0x2c14000
    Signature:  MSB+
    Value size: 88 bytes (standard=80, extra=8)
    u32[0..7]:  0x2 0x0 0x18 0x30 0x50 0x8 0x531 0x3
    Extra bytes (8):
    00000050  1c 00 00 00 00 00 00 00                           ........

  OID 0x74d — Directory/File (0x74d)
    Key (raw):  00000000000000004d07000000000000
    VLCN tuple: [0x10210, 0x10211, 0x10212, 0x10213]
    PLCN tuple: [0x210, 0x211, 0x212, 0x213]
    Absolute:   0x1210000
    Signature:  MSB+
    Value size: 88 bytes (standard=80, extra=8)
    u32[0..7]:  0x2 0x0 0x18 0x30 0x50 0x8 0x531 0x3
    Extra bytes (8):
    00000050  1d 00 00 00 00 00 00 00                           ........

  OID 0x74e — Directory/File (0x74e)
    Key (raw):  00000000000000004e07000000000000
    VLCN tuple: [0x10418, 0x10419, 0x1041a, 0x1041b]
    PLCN tuple: [0x418, 0x419, 0x41a, 0x41b]
    Absolute:   0x1418000
    Signature:  MSB+
    Value size: 88 bytes (standard=80, extra=8)
    u32[0..7]:  0x2 0x0 0x18 0x30 0x50 0x8 0x531 0x3
    Extra bytes (8):
    00000050  14 00 00 00 00 00 00 00                           ........

  OID 0x74f — Directory/File (0x74f)
    Key (raw):  00000000000000004f07000000000000
    VLCN tuple: [0x11828, 0x11829, 0x1182a, 0x1182b]
    PLCN tuple: [0x1828, 0x1829, 0x182a, 0x182b]
    Absolute:   0x2828000
    Signature:  MSB+
    Value size: 88 bytes (standard=80, extra=8)
    u32[0..7]:  0x2 0x0 0x18 0x30 0x50 0x8 0x531 0x3
    Extra bytes (8):
    00000050  05 00 00 00 00 00 00 00                           ........

  OID 0x752 — Directory/File (0x752)
    Key (raw):  00000000000000005207000000000000
    VLCN tuple: [0x10814, 0x10815, 0x10816, 0x10817]
    PLCN tuple: [0x814, 0x815, 0x816, 0x817]
    Absolute:   0x1814000
    Signature:  MSB+
    Value size: 88 bytes (standard=80, extra=8)
    u32[0..7]:  0x2 0x0 0x18 0x30 0x50 0x8 0x531 0x3
    Extra bytes (8):
    00000050  07 00 00 00 00 00 00 00                           ........

  OID 0x754 — Directory/File (0x754)
    Key (raw):  00000000000000005407000000000000
    VLCN tuple: [0x13614, 0x13615, 0x13616, 0x13617]
    PLCN tuple: [0x3614, 0x3615, 0x3616, 0x3617]
    Absolute:   0x4614000
    Signature:  MSB+
    Value size: 88 bytes (standard=80, extra=8)
    u32[0..7]:  0x2 0x0 0x18 0x30 0x50 0x8 0x531 0x3
    Extra bytes (8):
    00000050  18 00 00 00 00 00 00 00                           ........

  OID 0x755 — Directory/File (0x755)
    Key (raw):  00000000000000005507000000000000
    VLCN tuple: [0x13c28, 0x13c29, 0x13c2a, 0x13c2b]
    PLCN tuple: [0x3c28, 0x3c29, 0x3c2a, 0x3c2b]
    Absolute:   0x4c28000
    Signature:  MSB+
    Value size: 88 bytes (standard=80, extra=8)
    u32[0..7]:  0x2 0x0 0x18 0x30 0x50 0x8 0x51d 0x3
    Extra bytes (8):
    00000050  06 00 00 00 00 00 00 00                           ........

  OID 0x756 — Directory/File (0x756)
    Key (raw):  00000000000000005607000000000000
    VLCN tuple: [0x12e14, 0x12e15, 0x12e16, 0x12e17]
    PLCN tuple: [0x2e14, 0x2e15, 0x2e16, 0x2e17]
    Absolute:   0x3e14000
    Signature:  MSB+
    Value size: 88 bytes (standard=80, extra=8)
    u32[0..7]:  0x2 0x0 0x18 0x30 0x50 0x8 0x531 0x3
    Extra bytes (8):
    00000050  03 00 00 00 00 00 00 00                           ........

  OID 0x757 — Directory/File (0x757)
    Key (raw):  00000000000000005707000000000000
    VLCN tuple: [0x12424, 0x12425, 0x12426, 0x12427]
    PLCN tuple: [0x2424, 0x2425, 0x2426, 0x2427]
    Absolute:   0x3424000
    Signature:  MSB+
    Value size: 88 bytes (standard=80, extra=8)
    u32[0..7]:  0x2 0x0 0x18 0x30 0x50 0x8 0x51d 0x3
    Extra bytes (8):
    00000050  07 00 00 00 00 00 00 00                           ........

  OID 0x75e — Directory/File (0x75e)
    Key (raw):  00000000000000005e07000000000000
    VLCN tuple: [0x10e0c, 0x10e0d, 0x10e0e, 0x10e0f]
    PLCN tuple: [0xe0c, 0xe0d, 0xe0e, 0xe0f]
    Absolute:   0x1e0c000
    Signature:  MSB+
    Value size: 88 bytes (standard=80, extra=8)
    u32[0..7]:  0x2 0x0 0x18 0x30 0x50 0x8 0x531 0x3
    Extra bytes (8):
    00000050  10 00 00 00 00 00 00 00                           ........

  OID 0x75f — Directory/File (0x75f)
    Key (raw):  00000000000000005f07000000000000
    VLCN tuple: [0x12220, 0x12221, 0x12222, 0x12223]
    PLCN tuple: [0x2220, 0x2221, 0x2222, 0x2223]
    Absolute:   0x3220000
    Signature:  MSB+
    Value size: 88 bytes (standard=80, extra=8)
    u32[0..7]:  0x2 0x0 0x18 0x30 0x50 0x8 0x531 0x3
    Extra bytes (8):
    00000050  0a 00 00 00 00 00 00 00                           ........

  OID 0x760 — Directory/File (0x760)
    Key (raw):  00000000000000006007000000000000
    VLCN tuple: [0x13220, 0x13221, 0x13222, 0x13223]
    PLCN tuple: [0x3220, 0x3221, 0x3222, 0x3223]
    Absolute:   0x4220000
    Signature:  MSB+
    Value size: 88 bytes (standard=80, extra=8)
    u32[0..7]:  0x2 0x0 0x18 0x30 0x50 0x8 0x531 0x3
    Extra bytes (8):
    00000050  0f 00 00 00 00 00 00 00                           ........

  OID 0x761 — Directory/File (0x761)
    Key (raw):  00000000000000006107000000000000
    VLCN tuple: [0x1342c, 0x1342d, 0x1342e, 0x1342f]
    PLCN tuple: [0x342c, 0x342d, 0x342e, 0x342f]
    Absolute:   0x442c000
    Signature:  MSB+
    Value size: 88 bytes (standard=80, extra=8)
    u32[0..7]:  0x2 0x0 0x18 0x30 0x50 0x8 0x531 0x3
    Extra bytes (8):
    00000050  02 00 00 00 00 00 00 00                           ........

  OID 0x762 — Directory/File (0x762)
    Key (raw):  00000000000000006207000000000000
    VLCN tuple: [0x1343c, 0x1343d, 0x1343e, 0x1343f]
    PLCN tuple: [0x343c, 0x343d, 0x343e, 0x343f]
    Absolute:   0x443c000
    Signature:  MSB+
    Value size: 88 bytes (standard=80, extra=8)
    u32[0..7]:  0x2 0x0 0x18 0x30 0x50 0x8 0x531 0x3
    Extra bytes (8):
    00000050  0a 00 00 00 00 00 00 00                           ........

  OID 0x767 — Directory/File (0x767)
    Key (raw):  00000000000000006707000000000000
    VLCN tuple: [0x1243c, 0x1243d, 0x1243e, 0x1243f]
    PLCN tuple: [0x243c, 0x243d, 0x243e, 0x243f]
    Absolute:   0x343c000
    Signature:  MSB+
    Value size: 88 bytes (standard=80, extra=8)
    u32[0..7]:  0x2 0x0 0x18 0x30 0x50 0x8 0x531 0x3
    Extra bytes (8):
    00000050  08 00 00 00 00 00 00 00                           ........

  OID 0x768 — Directory/File (0x768)
    Key (raw):  00000000000000006807000000000000
    VLCN tuple: [0x1020c, 0x1020d, 0x1020e, 0x1020f]
    PLCN tuple: [0x20c, 0x20d, 0x20e, 0x20f]
    Absolute:   0x120c000
    Signature:  MSB+
    Value size: 88 bytes (standard=80, extra=8)
    u32[0..7]:  0x2 0x0 0x18 0x30 0x50 0x8 0x51d 0x3
    Extra bytes (8):
    00000050  03 00 00 00 00 00 00 00                           ........

  OID 0x76c — Directory/File (0x76c)
    Key (raw):  00000000000000006c07000000000000
    VLCN tuple: [0x1361c, 0x1361d, 0x1361e, 0x1361f]
    PLCN tuple: [0x361c, 0x361d, 0x361e, 0x361f]
    Absolute:   0x461c000
    Signature:  MSB+
    Value size: 88 bytes (standard=80, extra=8)
    u32[0..7]:  0x2 0x0 0x18 0x30 0x50 0x8 0x531 0x3
    Extra bytes (8):
    00000050  07 00 00 00 00 00 00 00                           ........

  OID 0x76d — Directory/File (0x76d)
    Key (raw):  00000000000000006d07000000000000
    VLCN tuple: [0x1381c, 0x1381d, 0x1381e, 0x1381f]
    PLCN tuple: [0x381c, 0x381d, 0x381e, 0x381f]
    Absolute:   0x481c000
    Signature:  MSB+
    Value size: 88 bytes (standard=80, extra=8)
    u32[0..7]:  0x2 0x0 0x18 0x30 0x50 0x8 0x531 0x3
    Extra bytes (8):
    00000050  06 00 00 00 00 00 00 00                           ........

  OID 0x76e — Directory/File (0x76e)
    Key (raw):  00000000000000006e07000000000000
    VLCN tuple: [0x10048, 0x10049, 0x1004a, 0x1004b]
    PLCN tuple: [0x48, 0x49, 0x4a, 0x4b]
    Absolute:   0x1048000
    Signature:  MSB+
    Value size: 88 bytes (standard=80, extra=8)
    u32[0..7]:  0x2 0x0 0x18 0x30 0x50 0x8 0x51d 0x3
    Extra bytes (8):
    00000050  05 00 00 00 00 00 00 00                           ........

  OID 0x771 — Directory/File (0x771)
    Key (raw):  00000000000000007107000000000000
    VLCN tuple: [0x10204, 0x10205, 0x10206, 0x10207]
    PLCN tuple: [0x204, 0x205, 0x206, 0x207]
    Absolute:   0x1204000
    Signature:  MSB+
    Value size: 88 bytes (standard=80, extra=8)
    u32[0..7]:  0x2 0x0 0x18 0x30 0x50 0x8 0x51d 0x3
    Extra bytes (8):
    00000050  01 00 00 00 00 00 00 00                           ........

  OID 0x774 — Directory/File (0x774)
    Key (raw):  00000000000000007407000000000000
    VLCN tuple: [0x12438, 0x12439, 0x1243a, 0x1243b]
    PLCN tuple: [0x2438, 0x2439, 0x243a, 0x243b]
    Absolute:   0x3438000
    Signature:  MSB+
    Value size: 88 bytes (standard=80, extra=8)
    u32[0..7]:  0x2 0x0 0x18 0x30 0x50 0x8 0x531 0x3
    Extra bytes (8):
    00000050  02 00 00 00 00 00 00 00                           ........

  OID 0x776 — Directory/File (0x776)
    Key (raw):  00000000000000007607000000000000
    VLCN tuple: [0x10208, 0x10209, 0x1020a, 0x1020b]
    PLCN tuple: [0x208, 0x209, 0x20a, 0x20b]
    Absolute:   0x1208000
    Signature:  MSB+
    Value size: 88 bytes (standard=80, extra=8)
    u32[0..7]:  0x2 0x0 0x18 0x30 0x50 0x8 0x51d 0x3
    Extra bytes (8):
    00000050  02 00 00 00 00 00 00 00                           ........

  OID 0x777 — Directory/File (0x777)
    Key (raw):  00000000000000007707000000000000
    VLCN tuple: [0x13218, 0x13219, 0x1321a, 0x1321b]
    PLCN tuple: [0x3218, 0x3219, 0x321a, 0x321b]
    Absolute:   0x4218000
    Signature:  MSB+
    Value size: 88 bytes (standard=80, extra=8)
    u32[0..7]:  0x2 0x0 0x18 0x30 0x50 0x8 0x51d 0x3
    Extra bytes (8):
    00000050  01 00 00 00 00 00 00 00                           ........

  OID 0x778 — Directory/File (0x778)
    Key (raw):  00000000000000007807000000000000
    VLCN tuple: [0x12218, 0x12219, 0x1221a, 0x1221b]
    PLCN tuple: [0x2218, 0x2219, 0x221a, 0x221b]
    Absolute:   0x3218000
    Signature:  MSB+
    Value size: 88 bytes (standard=80, extra=8)
    u32[0..7]:  0x2 0x0 0x18 0x30 0x50 0x8 0x51d 0x3
    Extra bytes (8):
    00000050  01 00 00 00 00 00 00 00                           ........

  OID 0x779 — Directory/File (0x779)
    Key (raw):  00000000000000007907000000000000
    VLCN tuple: [0x13a20, 0x13a21, 0x13a22, 0x13a23]
    PLCN tuple: [0x3a20, 0x3a21, 0x3a22, 0x3a23]
    Absolute:   0x4a20000
    Signature:  MSB+
    Value size: 88 bytes (standard=80, extra=8)
    u32[0..7]:  0x2 0x0 0x18 0x30 0x50 0x8 0x9b3 0x3
    Extra bytes (8):
    00000050  24 00 00 00 00 00 00 00                           $.......

  OID 0x77a — Directory/File (0x77a)
    Key (raw):  00000000000000007a07000000000000
    VLCN tuple: [0x1180c, 0x1180d, 0x1180e, 0x1180f]
    PLCN tuple: [0x180c, 0x180d, 0x180e, 0x180f]
    Absolute:   0x280c000
    Signature:  MSB+
    Value size: 88 bytes (standard=80, extra=8)
    u32[0..7]:  0x2 0x0 0x18 0x30 0x50 0x8 0x9b3 0x3
    Extra bytes (8):
    00000050  10 00 00 00 00 00 00 00                           ........

  OID 0x77b — Directory/File (0x77b)
    Key (raw):  00000000000000007b07000000000000
    VLCN tuple: [0x12c18, 0x12c19, 0x12c1a, 0x12c1b]
    PLCN tuple: [0x2c18, 0x2c19, 0x2c1a, 0x2c1b]
    Absolute:   0x3c18000
    Signature:  MSB+
    Value size: 88 bytes (standard=80, extra=8)
    u32[0..7]:  0x2 0x0 0x18 0x30 0x50 0x8 0x9b3 0x3
    Extra bytes (8):
    00000050  1b 00 00 00 00 00 00 00                           ........

  OID 0x77d — Directory/File (0x77d)
    Key (raw):  00000000000000007d07000000000000
    VLCN tuple: [0x10218, 0x10219, 0x1021a, 0x1021b]
    PLCN tuple: [0x218, 0x219, 0x21a, 0x21b]
    Absolute:   0x1218000
    Signature:  MSB+
    Value size: 88 bytes (standard=80, extra=8)
    u32[0..7]:  0x2 0x0 0x18 0x30 0x50 0x8 0x12cf 0x3
    Extra bytes (8):
    00000050  16 00 00 00 00 00 00 00                           ........

  OID 0x77e — Directory/File (0x77e)
    Key (raw):  00000000000000007e07000000000000
    VLCN tuple: [0x11600, 0x11601, 0x11602, 0x11603]
    PLCN tuple: [0x1600, 0x1601, 0x1602, 0x1603]
    Absolute:   0x2600000
    Signature:  MSB+
    Value size: 88 bytes (standard=80, extra=8)
    u32[0..7]:  0x2 0x0 0x18 0x30 0x50 0x8 0x12d0 0x3
    Extra bytes (8):
    00000050  16 00 00 00 00 00 00 00                           ........

  OID 0x77f — Directory/File (0x77f)
    Key (raw):  00000000000000007f07000000000000
    VLCN tuple: [0x11220, 0x11221, 0x11222, 0x11223]
    PLCN tuple: [0x1220, 0x1221, 0x1222, 0x1223]
    Absolute:   0x2220000
    Signature:  MSB+
    Value size: 88 bytes (standard=80, extra=8)
    u32[0..7]:  0x2 0x0 0x18 0x30 0x50 0x8 0x9b3 0x3
    Extra bytes (8):
    00000050  03 00 00 00 00 00 00 00                           ........

  OID 0x782 — Directory/File (0x782)
    Key (raw):  00000000000000008207000000000000
    VLCN tuple: [0x1040c, 0x1040d, 0x1040e, 0x1040f]
    PLCN tuple: [0x40c, 0x40d, 0x40e, 0x40f]
    Absolute:   0x140c000
    Signature:  MSB+
    Value size: 88 bytes (standard=80, extra=8)
    u32[0..7]:  0x2 0x0 0x18 0x30 0x50 0x8 0x98a 0x3
    Extra bytes (8):
    00000050  0c 00 00 00 00 00 00 00                           ........

  OID 0x784 — Directory/File (0x784)
    Key (raw):  00000000000000008407000000000000
    VLCN tuple: [0x11804, 0x11805, 0x11806, 0x11807]
    PLCN tuple: [0x1804, 0x1805, 0x1806, 0x1807]
    Absolute:   0x2804000
    Signature:  MSB+
    Value size: 88 bytes (standard=80, extra=8)
    u32[0..7]:  0x2 0x0 0x18 0x30 0x50 0x8 0x98a 0x3
    Extra bytes (8):
    00000050  04 00 00 00 00 00 00 00                           ........

  OID 0x786 — Directory/File (0x786)
    Key (raw):  00000000000000008607000000000000
    VLCN tuple: [0x10a14, 0x10a15, 0x10a16, 0x10a17]
    PLCN tuple: [0xa14, 0xa15, 0xa16, 0xa17]
    Absolute:   0x1a14000
    Signature:  MSB+
    Value size: 88 bytes (standard=80, extra=8)
    u32[0..7]:  0x2 0x0 0x18 0x30 0x50 0x8 0x9b3 0x3
    Extra bytes (8):
    00000050  1c 00 00 00 00 00 00 00                           ........

  OID 0x787 — Directory/File (0x787)
    Key (raw):  00000000000000008707000000000000
    VLCN tuple: [0x12a24, 0x12a25, 0x12a26, 0x12a27]
    PLCN tuple: [0x2a24, 0x2a25, 0x2a26, 0x2a27]
    Absolute:   0x3a24000
    Signature:  MSB+
    Value size: 88 bytes (standard=80, extra=8)
    u32[0..7]:  0x2 0x0 0x18 0x30 0x50 0x8 0x9b3 0x3
    Extra bytes (8):
    00000050  1d 00 00 00 00 00 00 00                           ........

  OID 0x788 — Directory/File (0x788)
    Key (raw):  00000000000000008807000000000000
    VLCN tuple: [0x13a24, 0x13a25, 0x13a26, 0x13a27]
    PLCN tuple: [0x3a24, 0x3a25, 0x3a26, 0x3a27]
    Absolute:   0x4a24000
    Signature:  MSB+
    Value size: 88 bytes (standard=80, extra=8)
    u32[0..7]:  0x2 0x0 0x18 0x30 0x50 0x8 0x9b3 0x3
    Extra bytes (8):
    00000050  14 00 00 00 00 00 00 00                           ........

  OID 0x789 — Directory/File (0x789)
    Key (raw):  00000000000000008907000000000000
    VLCN tuple: [0x11c10, 0x11c11, 0x11c12, 0x11c13]
    PLCN tuple: [0x1c10, 0x1c11, 0x1c12, 0x1c13]
    Absolute:   0x2c10000
    Signature:  MSB+
    Value size: 88 bytes (standard=80, extra=8)
    u32[0..7]:  0x2 0x0 0x18 0x30 0x50 0x8 0x9b3 0x3
    Extra bytes (8):
    00000050  05 00 00 00 00 00 00 00                           ........

  OID 0x78c — Directory/File (0x78c)
    Key (raw):  00000000000000008c07000000000000
    VLCN tuple: [0x11c08, 0x11c09, 0x11c0a, 0x11c0b]
    PLCN tuple: [0x1c08, 0x1c09, 0x1c0a, 0x1c0b]
    Absolute:   0x2c08000
    Signature:  MSB+
    Value size: 88 bytes (standard=80, extra=8)
    u32[0..7]:  0x2 0x0 0x18 0x30 0x50 0x8 0x98a 0x3
    Extra bytes (8):
    00000050  07 00 00 00 00 00 00 00                           ........

  OID 0x78e — Directory/File (0x78e)
    Key (raw):  00000000000000008e07000000000000
    VLCN tuple: [0x11a1c, 0x11a1d, 0x11a1e, 0x11a1f]
    PLCN tuple: [0x1a1c, 0x1a1d, 0x1a1e, 0x1a1f]
    Absolute:   0x2a1c000
    Signature:  MSB+
    Value size: 88 bytes (standard=80, extra=8)
    u32[0..7]:  0x2 0x0 0x18 0x30 0x50 0x8 0x9b3 0x3
    Extra bytes (8):
    00000050  18 00 00 00 00 00 00 00                           ........

  OID 0x78f — Directory/File (0x78f)
    Key (raw):  00000000000000008f07000000000000
    VLCN tuple: [0x12a18, 0x12a19, 0x12a1a, 0x12a1b]
    PLCN tuple: [0x2a18, 0x2a19, 0x2a1a, 0x2a1b]
    Absolute:   0x3a18000
    Signature:  MSB+
    Value size: 88 bytes (standard=80, extra=8)
    u32[0..7]:  0x2 0x0 0x18 0x30 0x50 0x8 0x98a 0x3
    Extra bytes (8):
    00000050  06 00 00 00 00 00 00 00                           ........

  OID 0x790 — Directory/File (0x790)
    Key (raw):  00000000000000009007000000000000
    VLCN tuple: [0x13e10, 0x13e11, 0x13e12, 0x13e13]
    PLCN tuple: [0x3e10, 0x3e11, 0x3e12, 0x3e13]
    Absolute:   0x4e10000
    Signature:  MSB+
    Value size: 88 bytes (standard=80, extra=8)
    u32[0..7]:  0x2 0x0 0x18 0x30 0x50 0x8 0x9b3 0x3
    Extra bytes (8):
    00000050  03 00 00 00 00 00 00 00                           ........

  OID 0x791 — Directory/File (0x791)
    Key (raw):  00000000000000009107000000000000
    VLCN tuple: [0x10a08, 0x10a09, 0x10a0a, 0x10a0b]
    PLCN tuple: [0xa08, 0xa09, 0xa0a, 0xa0b]
    Absolute:   0x1a08000
    Signature:  MSB+
    Value size: 88 bytes (standard=80, extra=8)
    u32[0..7]:  0x2 0x0 0x18 0x30 0x50 0x8 0x98a 0x3
    Extra bytes (8):
    00000050  07 00 00 00 00 00 00 00                           ........

  OID 0x798 — Directory/File (0x798)
    Key (raw):  00000000000000009807000000000000
    VLCN tuple: [0x1322c, 0x1322d, 0x1322e, 0x1322f]
    PLCN tuple: [0x322c, 0x322d, 0x322e, 0x322f]
    Absolute:   0x422c000
    Signature:  MSB+
    Value size: 88 bytes (standard=80, extra=8)
    u32[0..7]:  0x2 0x0 0x18 0x30 0x50 0x8 0x9b3 0x3
    Extra bytes (8):
    00000050  10 00 00 00 00 00 00 00                           ........

  OID 0x799 — Directory/File (0x799)
    Key (raw):  00000000000000009907000000000000
    VLCN tuple: [0x10c0c, 0x10c0d, 0x10c0e, 0x10c0f]
    PLCN tuple: [0xc0c, 0xc0d, 0xc0e, 0xc0f]
    Absolute:   0x1c0c000
    Signature:  MSB+
    Value size: 88 bytes (standard=80, extra=8)
    u32[0..7]:  0x2 0x0 0x18 0x30 0x50 0x8 0x9b3 0x3
    Extra bytes (8):
    00000050  0a 00 00 00 00 00 00 00                           ........

  OID 0x79a — Directory/File (0x79a)
    Key (raw):  00000000000000009a07000000000000
    VLCN tuple: [0x11224, 0x11225, 0x11226, 0x11227]
    PLCN tuple: [0x1224, 0x1225, 0x1226, 0x1227]
    Absolute:   0x2224000
    Signature:  MSB+
    Value size: 88 bytes (standard=80, extra=8)
    u32[0..7]:  0x2 0x0 0x18 0x30 0x50 0x8 0x9b3 0x3
    Extra bytes (8):
    00000050  0f 00 00 00 00 00 00 00                           ........

  OID 0x79b — Directory/File (0x79b)
    Key (raw):  00000000000000009b07000000000000
    VLCN tuple: [0x11a18, 0x11a19, 0x11a1a, 0x11a1b]
    PLCN tuple: [0x1a18, 0x1a19, 0x1a1a, 0x1a1b]
    Absolute:   0x2a18000
    Signature:  MSB+
    Value size: 88 bytes (standard=80, extra=8)
    u32[0..7]:  0x2 0x0 0x18 0x30 0x50 0x8 0x9b3 0x3
    Extra bytes (8):
    00000050  02 00 00 00 00 00 00 00                           ........

  OID 0x79c — Directory/File (0x79c)
    Key (raw):  00000000000000009c07000000000000
    VLCN tuple: [0x11c20, 0x11c21, 0x11c22, 0x11c23]
    PLCN tuple: [0x1c20, 0x1c21, 0x1c22, 0x1c23]
    Absolute:   0x2c20000
    Signature:  MSB+
    Value size: 88 bytes (standard=80, extra=8)
    u32[0..7]:  0x2 0x0 0x18 0x30 0x50 0x8 0x9b3 0x3
    Extra bytes (8):
    00000050  0a 00 00 00 00 00 00 00                           ........

  OID 0x7a1 — Directory/File (0x7a1)
    Key (raw):  0000000000000000a107000000000000
    VLCN tuple: [0x11618, 0x11619, 0x1161a, 0x1161b]
    PLCN tuple: [0x1618, 0x1619, 0x161a, 0x161b]
