==============================================================================
ReFS Directory Tree
==============================================================================
  Image:           win11refstestmftecmd.raw
  ReFS version:    3.14
  Cluster size:    0x1000
  Objects:         250
  Start OID:       0x600
  Start name:      Root Directory

  Total entries:   1744 (237 directories, 1507 files, 84 ADS)

  Type  OID          Attrs            Size Modified             Path
  FILE  (resident)   ARCHIVE             0 2026-05-23 07:38:50  test2/elvis_dir_index_149423/elvis_dir_victor_121923/elvis_dir_hotel_670324/elvis_dir_output_358165/elvis_dir_oscar_874075/xbpt_zulu_mike_340372.cfg
  FILE  0x782        ARCHIVE        520031 2026-05-23 07:38:50  test2/elvis_dir_index_149423/elvis_dir_victor_121923/elvis_dir_hotel_670324/elvis_dir_output_358165/xbpt_audit_echo_178867.tmp
  FILE  (resident)   ARCHIVE             0 2026-05-23 07:38:51  test2/elvis_dir_index_149423/elvis_dir_victor_121923/elvis_dir_hotel_670324/elvis_dir_output_358165/xbpt_log_foxtrot_796125.ini
  FILE  (resident)   ARCHIVE             0 2026-05-23 07:38:51  test2/elvis_dir_index_149423/elvis_dir_victor_121923/elvis_dir_hotel_670324/elvis_dir_output_358165/xbpt_oscar_foxtrot_866936.json
  FILE  0x77e        ARCHIVE        403765 2026-05-23 07:38:45  test2/elvis_dir_index_149423/elvis_dir_victor_121923/elvis_dir_hotel_670324/elvis_dir_output_358165/xbpt_output_lima_215617.json
  FILE  (resident)   ARCHIVE             0 2026-05-23 07:38:51  test2/elvis_dir_index_149423/elvis_dir_victor_121923/elvis_dir_hotel_670324/elvis_dir_output_358165/xbpt_papa_archive_660135.txt
  FILE  (resident)   ARCHIVE             0 2024-08-03 07:17:33  test2/elvis_dir_index_149423/elvis_dir_victor_121923/elvis_dir_hotel_670324/elvis_dir_output_358165/xbpt_zulu_india_473528.csv
  FILE  0x77b        ARCHIVE        208467 2026-05-23 07:38:47  test2/elvis_dir_index_149423/elvis_dir_victor_121923/elvis_dir_hotel_670324/xbpt_cache_sync_352758.ini
  FILE  (resident)   ARCHIVE             0 2026-05-23 07:38:52  test2/elvis_dir_index_149423/elvis_dir_victor_121923/elvis_dir_hotel_670324/xbpt_cache_temp_298348.bak
  FILE  (resident)   ARCHIVE             0 2026-05-23 07:38:50  test2/elvis_dir_index_149423/elvis_dir_victor_121923/elvis_dir_hotel_670324/xbpt_log_romeo_711888.cfg
  FILE  (resident)   ARCHIVE             0 2025-04-01 07:16:26  test2/elvis_dir_index_149423/elvis_dir_victor_121923/elvis_dir_hotel_670324/xbpt_november_yankee_663510.csv
  FILE  (resident)   ARCHIVE             0 2026-05-23 07:38:51  test2/elvis_dir_index_149423/elvis_dir_victor_121923/elvis_dir_hotel_670324/xbpt_trace_gamma_472483.cfg
  FILE  (resident)   ARCHIVE             0 2026-05-23 07:38:52  test2/elvis_dir_index_149423/elvis_dir_victor_121923/elvis_dir_hotel_670324/xbpt_zulu_audit_805568.ini
  FILE  (resident)   ARCHIVE             0 2026-05-23 07:38:51  test2/elvis_dir_index_149423/elvis_dir_victor_121923/xbpt_hotel_mike_996142.cfg
  FILE  0x77e        ARCHIVE        453197 2026-05-23 07:38:51  test2/elvis_dir_index_149423/elvis_dir_victor_121923/xbpt_hotel_victor_678038.txt
  FILE  (resident)   ARCHIVE             0 2026-05-23 07:38:52  test2/elvis_dir_index_149423/elvis_dir_victor_121923/xbpt_large_5mb_romeo_293003.dat
  FILE  (resident)   ARCHIVE             0 2026-05-23 07:38:52  test2/elvis_dir_index_149423/elvis_dir_victor_121923/xbpt_temp_uniform_753565.cfg
  FILE  0x78f        ARCHIVE        339532 2024-11-23 07:17:31  test2/elvis_dir_index_149423/elvis_dir_victor_121923/xbpt_whiskey_delta_922359.tmp
  FILE  (resident)   ARCHIVE             0 2026-05-23 07:38:51  test2/elvis_dir_index_149423/elvis_dir_victor_121923/xbpt_zulu_echo_160107.cfg
  FILE  (resident)   ARCHIVE             0 2026-05-23 07:38:51  test2/elvis_dir_index_149423/elvis_dir_victor_121923/xbpt_zulu_papa_839258.bin
  FILE  0x77b        ARCHIVE        310564 2023-11-27 07:16:30  test2/elvis_dir_index_149423/xbpt_beta_archive_985685.tmp
  FILE  (resident)   ARCHIVE             0 2022-02-07 07:16:33  test2/elvis_dir_index_149423/xbpt_config_sync_830891.tmp
  FILE  (resident)   ARCHIVE             0 2026-05-23 07:38:49  test2/elvis_dir_index_149423/xbpt_draft_india_626576.tmp
  FILE  0x787        ARCHIVE        239973 2026-05-23 07:38:47  test2/elvis_dir_index_149423/xbpt_draft_record_749595.cfg
  FILE  (resident)   ARCHIVE             0 2026-05-23 07:38:48  test2/elvis_dir_index_149423/xbpt_kilo_draft_550251.bin
  FILE  (resident)   ARCHIVE             0 2026-05-23 07:38:51  test2/elvis_dir_index_149423/xbpt_papa_papa_899322.md
  FILE  (resident)   ARCHIVE             0 2026-05-23 07:38:50  test2/elvis_dir_index_149423/xbpt_quebec_kilo_982841.tmp
  FILE  (resident)   ARCHIVE             0 2026-05-23 07:38:50  test2/elvis_dir_index_149423/xbpt_sync_output_795963.bin
  FILE  0x77d        ARCHIVE        306493 2026-05-23 07:38:45  test2/elvis_dir_index_149423/xbpt_victor_gamma_564302.csv
  FILE  (resident)   ARCHIVE             0 2026-05-23 07:38:51  test2/elvis_dir_index_149423/xbpt_yankee_draft_816830.dat
  FILE  0x788        ARCHIVE        457030 2022-05-20 07:16:16  test2/elvis_dir_index_149423/xbpt_zulu_kilo_319858.csv
  DIR   0x79a        DIRECTORY             2026-05-23 07:38:52  test2/elvis_dir_india_800575
  FILE  (resident)   ARCHIVE             0 2026-05-23 07:38:52  test2/elvis_dir_india_800575/xbpt_beta_archive_202282.json
  FILE  (resident)   ARCHIVE             0 2026-05-23 07:38:48  test2/elvis_dir_india_800575/xbpt_cache_index_408825.bin
  FILE  (resident)   ARCHIVE             0 2026-05-23 07:38:51  test2/elvis_dir_india_800575/xbpt_cache_lima_454391.txt
  FILE  (resident)   ARCHIVE             0 2026-05-23 07:38:51  test2/elvis_dir_india_800575/xbpt_delta_lima_807650.tmp
  FILE  0x786        ARCHIVE        130777 2026-05-23 07:38:48  test2/elvis_dir_india_800575/xbpt_foxtrot_zulu_156856.csv
  FILE  (resident)   ARCHIVE             0 2026-05-23 07:38:50  test2/elvis_dir_india_800575/xbpt_kilo_config_292054.json
  FILE  (resident)   ARCHIVE             0 2026-05-23 07:38:52  test2/elvis_dir_india_800575/xbpt_large_2mb_report_507726.txt
  FILE  (resident)   ARCHIVE             0 2026-05-23 07:38:52  test2/elvis_dir_india_800575/xbpt_log_beta_973172.txt
  FILE  (resident)   ARCHIVE             0 2026-05-23 07:38:50  test2/elvis_dir_india_800575/xbpt_oscar_backup_284025.json
  FILE  (resident)   ARCHIVE             0 2026-05-23 07:38:49  test2/elvis_dir_india_800575/xbpt_output_config_975939.bak
  FILE  (resident)   ARCHIVE             0 2026-05-23 07:38:50  test2/elvis_dir_india_800575/xbpt_output_victor_198806.ini
  FILE  (resident)   ARCHIVE             0 2022-02-07 07:16:33  test2/elvis_dir_india_800575/xbpt_report_temp_854937.tmp
  FILE  (resident)   ARCHIVE             0 2026-05-23 07:38:46  test2/elvis_dir_india_800575/xbpt_sierra_beta_228555.dat
  FILE  (resident)   ARCHIVE             0 2026-05-23 07:38:50  test2/elvis_dir_india_800575/xbpt_sierra_data_271533.bin
  FILE  0x779        ARCHIVE        145250 2026-05-23 07:38:47  test2/elvis_dir_india_800575/xbpt_uniform_lima_155750.md
  DIR   0x79c        DIRECTORY             2026-05-23 07:38:51  test2/elvis_dir_papa_805353
  DIR   0x787        DIRECTORY             2026-05-23 07:38:52  test2/elvis_dir_papa_805353/elvis_dir_november_478580
  DIR   0x7b0        DIRECTORY             2026-05-23 07:38:52  test2/elvis_dir_papa_805353/elvis_dir_november_478580/elvis_dir_kilo_751807
  FILE  0x779        ARCHIVE        100455 2026-05-23 07:38:49  test2/elvis_dir_papa_805353/elvis_dir_november_478580/elvis_dir_kilo_751807/xbpt_delta_zulu_595944.bak
  FILE  (resident)   ARCHIVE             0 2026-05-23 07:38:50  test2/elvis_dir_papa_805353/elvis_dir_november_478580/elvis_dir_kilo_751807/xbpt_temp_backup_816270.cfg
  FILE  (resident)   ARCHIVE             0 2026-05-23 07:38:50  test2/elvis_dir_papa_805353/elvis_dir_november_478580/xbpt_alpha_cache_742120.dat
  FILE  (resident)   ARCHIVE             0 2026-05-23 07:38:46  test2/elvis_dir_papa_805353/elvis_dir_november_478580/xbpt_archive_trace_798923.cfg
  FILE  (resident)   ARCHIVE             0 2026-05-23 07:38:50  test2/elvis_dir_papa_805353/elvis_dir_november_478580/xbpt_audit_sync_528794.xml
  FILE  0x779        ARCHIVE        140609 2026-05-23 07:38:46  test2/elvis_dir_papa_805353/elvis_dir_november_478580/xbpt_backup_mike_407434.log
  FILE  (resident)   ARCHIVE             0 2026-05-23 07:38:50  test2/elvis_dir_papa_805353/elvis_dir_november_478580/xbpt_beta_echo_977425.bin
  FILE  (resident)   ARCHIVE             0 2026-05-23 07:38:50  test2/elvis_dir_papa_805353/elvis_dir_november_478580/xbpt_config_log_890790.bak
  FILE  (resident)   ARCHIVE             0 2024-01-13 07:17:04  test2/elvis_dir_papa_805353/elvis_dir_november_478580/xbpt_delta_echo_268401.csv
  FILE  (resident)   ARCHIVE             0 2026-05-23 07:38:48  test2/elvis_dir_papa_805353/elvis_dir_november_478580/xbpt_delta_report_275249.dat
  FILE  0x786        ARCHIVE        237968 2026-05-23 07:38:51  test2/elvis_dir_papa_805353/elvis_dir_november_478580/xbpt_hardlink_echo_387599.ini
  FILE  0x788        ARCHIVE        239973 2026-05-23 07:38:47  test2/elvis_dir_papa_805353/elvis_dir_november_478580/xbpt_hotel_kilo_705007.cfg
  FILE  0x7a6        ARCHIVE        113106 2026-05-23 07:38:51  test2/elvis_dir_papa_805353/elvis_dir_november_478580/xbpt_index_index_579494.cfg
  FILE  (resident)   ARCHIVE             0 2026-05-23 07:38:51  test2/elvis_dir_papa_805353/elvis_dir_november_478580/xbpt_kilo_output_350111.log
  FILE  (resident)   ARCHIVE             0 2026-05-23 07:38:49  test2/elvis_dir_papa_805353/elvis_dir_november_478580/xbpt_lima_temp_514782.csv
  FILE  (resident)   ARCHIVE             0 2025-07-16 07:17:35  test2/elvis_dir_papa_805353/elvis_dir_november_478580/xbpt_lima_victor_941030.cfg
  FILE  0x788        ARCHIVE        123468 2026-05-23 07:38:51  test2/elvis_dir_papa_805353/elvis_dir_november_478580/xbpt_log_output_579275.dat
  FILE  (resident)   ARCHIVE             0 2026-05-23 07:38:51  test2/elvis_dir_papa_805353/elvis_dir_november_478580/xbpt_oscar_archive_384713.txt
  FILE  (resident)   ARCHIVE             0 2026-05-23 07:38:50  test2/elvis_dir_papa_805353/elvis_dir_november_478580/xbpt_oscar_foxtrot_635028.xml
  FILE  (resident)   ARCHIVE             0 2026-05-23 07:38:51  test2/elvis_dir_papa_805353/elvis_dir_november_478580/xbpt_papa_index_238422.csv
  FILE  0x779        ARCHIVE         30711 2026-05-23 07:38:52  test2/elvis_dir_papa_805353/elvis_dir_november_478580/xbpt_quebec_papa_978800.txt
  FILE  0x78c        ARCHIVE        546650 2026-05-23 07:38:47  test2/elvis_dir_papa_805353/elvis_dir_november_478580/xbpt_sierra_echo_921063.xml
  FILE  0x788        ARCHIVE        219586 2026-05-23 07:38:51  test2/elvis_dir_papa_805353/elvis_dir_november_478580/xbpt_tango_echo_291736.csv
  FILE  (resident)   ARCHIVE             0 2022-02-07 07:16:33  test2/elvis_dir_papa_805353/elvis_dir_november_478580/xbpt_temp_sierra_130629.tmp
  FILE  (resident)   ARCHIVE             0 2021-10-19 07:16:21  test2/elvis_dir_papa_805353/elvis_dir_november_478580/xbpt_trace_gamma_651618.dat
  FILE  0x78f        ARCHIVE        505381 2026-05-23 07:38:48  test2/elvis_dir_papa_805353/elvis_dir_november_478580/xbpt_victor_tango_152379.bin
  FILE  (resident)   ARCHIVE             0 2026-05-23 07:38:50  test2/elvis_dir_papa_805353/elvis_dir_november_478580/xbpt_yankee_victor_114004.ini
  FILE  (resident)   ARCHIVE             0 2026-05-23 07:38:51  test2/elvis_dir_papa_805353/xbpt_audit_index_229436.csv
  FILE  (resident)   ARCHIVE             0 2026-05-23 07:38:50  test2/elvis_dir_papa_805353/xbpt_mike_oscar_154118.csv
  FILE  (resident)   ARCHIVE             0 2026-05-23 07:38:51  test2/elvis_dir_papa_805353/xbpt_november_hotel_509136.md
  FILE  (resident)   ARCHIVE             0 2026-05-23 07:38:47  test2/elvis_dir_papa_805353/xbpt_november_record_124675.bak
  FILE  (resident)   ARCHIVE             0 2026-05-23 07:38:51  test2/elvis_dir_papa_805353/xbpt_november_sierra_312346.xml
  FILE  (resident)   ARCHIVE             0 2026-05-23 07:38:51  test2/elvis_dir_papa_805353/xbpt_oscar_archive_362034.json
  FILE  (resident)   ARCHIVE             0 2026-05-23 07:38:51  test2/elvis_dir_papa_805353/xbpt_papa_victor_656146.log
  FILE  (resident)   ARCHIVE             0 2026-05-23 07:38:52  test2/elvis_dir_papa_805353/xbpt_temp_data_294711.md
  FILE  0x787        ARCHIVE        185084 2026-05-23 07:38:50  test2/elvis_dir_papa_805353/xbpt_temp_log_141240.cfg
  DIR   0x786        DIRECTORY             2026-05-23 07:38:52  test2/elvis_dir_record_449015
  DIR   0x7a1        DIRECTORY             2026-05-23 07:38:52  test2/elvis_dir_record_449015/elvis_dir_lima_252141
  DIR   0x788        DIRECTORY             2026-05-23 07:38:52  test2/elvis_dir_record_449015/elvis_dir_lima_252141/elvis_dir_oscar_306778
  DIR   0x784        DIRECTORY             2026-05-23 07:38:50  test2/elvis_dir_record_449015/elvis_dir_lima_252141/elvis_dir_oscar_306778/elvis_dir_beta_984608
  FILE  0x77b        ARCHIVE        407804 2026-03-01 07:16:07  test2/elvis_dir_record_449015/elvis_dir_lima_252141/elvis_dir_oscar_306778/elvis_dir_beta_984608/xbpt_cache_zulu_259753.dat
  FILE  (resident)   ARCHIVE             0 2026-05-23 07:38:50  test2/elvis_dir_record_449015/elvis_dir_lima_252141/elvis_dir_oscar_306778/elvis_dir_beta_984608/xbpt_delta_india_877880.dat
  FILE  0x782        ARCHIVE        408171 2023-08-26 07:16:12  test2/elvis_dir_record_449015/elvis_dir_lima_252141/elvis_dir_oscar_306778/elvis_dir_beta_984608/xbpt_delta_temp_981764.tmp
  FILE  (resident)   ARCHIVE             0 2026-05-23 07:38:48  test2/elvis_dir_record_449015/elvis_dir_lima_252141/elvis_dir_oscar_306778/elvis_dir_beta_984608/xbpt_mike_quebec_329740.dat
  DIR   0x790        DIRECTORY             2026-05-23 07:38:51  test2/elvis_dir_record_449015/elvis_dir_lima_252141/elvis_dir_oscar_306778/elvis_dir_cache_505509
  FILE  (resident)   ARCHIVE             0 2026-05-23 07:38:47  test2/elvis_dir_record_449015/elvis_dir_lima_252141/elvis_dir_oscar_306778/elvis_dir_cache_505509/xbpt_mike_trace_701071.dat
  DIR   0x789        DIRECTORY             2026-05-23 07:38:48  test2/elvis_dir_record_449015/elvis_dir_lima_252141/elvis_dir_oscar_306778/elvis_dir_record_901264
  FILE  0x77a        ARCHIVE        462545 2021-10-19 07:16:21  test2/elvis_dir_record_449015/elvis_dir_lima_252141/elvis_dir_oscar_306778/elvis_dir_record_901264/xbpt_audit_config_255291.dat
  FILE  (resident)   ARCHIVE             0 2026-05-23 07:38:50  test2/elvis_dir_record_449015/elvis_dir_lima_252141/elvis_dir_oscar_306778/elvis_dir_record_901264/xbpt_beta_report_756229.csv
  FILE  (resident)   ARCHIVE             0 2026-05-23 07:38:48  test2/elvis_dir_record_449015/elvis_dir_lima_252141/elvis_dir_oscar_306778/elvis_dir_record_901264/xbpt_november_cache_127869.dat
  FILE  (resident)   ARCHIVE             0 2024-06-07 07:17:11  test2/elvis_dir_record_449015/elvis_dir_lima_252141/elvis_dir_oscar_306778/elvis_dir_record_901264/xbpt_zulu_trace_481495.md
  FILE  (resident)   ARCHIVE             0 2022-06-17 07:16:38  test2/elvis_dir_record_449015/elvis_dir_lima_252141/elvis_dir_oscar_306778/xbpt_backup_echo_585708.csv
  FILE  (resident)   ARCHIVE             0 2026-05-23 07:38:49  test2/elvis_dir_record_449015/elvis_dir_lima_252141/elvis_dir_oscar_306778/xbpt_beta_archive_448246.ini
  FILE  (resident)   ARCHIVE             0 2026-05-23 07:38:45  test2/elvis_dir_record_449015/elvis_dir_lima_252141/elvis_dir_oscar_306778/xbpt_draft_oscar_719333.tmp
  FILE  (resident)   ARCHIVE             0 2026-05-23 07:38:51  test2/elvis_dir_record_449015/elvis_dir_lima_252141/elvis_dir_oscar_306778/xbpt_kilo_beta_246643.bin
  FILE  (resident)   ARCHIVE             0 2026-05-23 07:38:52  test2/elvis_dir_record_449015/elvis_dir_lima_252141/elvis_dir_oscar_306778/xbpt_large_7mb_india_845613.txt
  FILE  (resident)   ARCHIVE             0 2026-05-23 07:38:52  test2/elvis_dir_record_449015/elvis_dir_lima_252141/elvis_dir_oscar_306778/xbpt_large_86mb_india_568540.txt
  FILE  (resident)   ARCHIVE             0 2026-05-23 07:38:50  test2/elvis_dir_record_449015/elvis_dir_lima_252141/elvis_dir_oscar_306778/xbpt_log_romeo_319918.txt
  FILE  (resident)   ARCHIVE             0 2026-05-23 07:38:49  test2/elvis_dir_record_449015/elvis_dir_lima_252141/elvis_dir_oscar_306778/xbpt_mike_trace_484217.ini
  FILE  0x77a        ARCHIVE        236094 2026-05-23 07:38:45  test2/elvis_dir_record_449015/elvis_dir_lima_252141/elvis_dir_oscar_306778/xbpt_mike_uniform_215836.txt
  FILE  (resident)   ARCHIVE             0 2026-05-23 07:38:51  test2/elvis_dir_record_449015/elvis_dir_lima_252141/elvis_dir_oscar_306778/xbpt_report_india_560484.txt
  FILE  0x77a        ARCHIVE         97673 2026-05-23 07:38:48  test2/elvis_dir_record_449015/elvis_dir_lima_252141/elvis_dir_oscar_306778/xbpt_romeo_output_531365.cfg
  FILE  (resident)   ARCHIVE             0 2026-05-23 07:38:48  test2/elvis_dir_record_449015/elvis_dir_lima_252141/elvis_dir_oscar_306778/xbpt_sync_echo_156375.ini
  FILE  (resident)   ARCHIVE             0 2025-12-30 07:17:16  test2/elvis_dir_record_449015/elvis_dir_lima_252141/elvis_dir_oscar_306778/xbpt_temp_mike_134457.bak
  FILE  (resident)   ARCHIVE             0 2026-05-23 07:38:51  test2/elvis_dir_record_449015/elvis_dir_lima_252141/elvis_dir_oscar_306778/xbpt_trace_delta_811163.txt
  FILE  (resident)   ARCHIVE             0 2026-05-23 07:38:49  test2/elvis_dir_record_449015/elvis_dir_lima_252141/elvis_dir_oscar_306778/xbpt_yankee_tango_103961.bin
  FILE  0x78c        ARCHIVE        283500 2026-05-23 07:38:46  test2/elvis_dir_record_449015/elvis_dir_lima_252141/elvis_dir_oscar_306778/xbpt_zulu_hotel_433348.log
  DIR   0x7b1        DIRECTORY             2026-05-23 07:38:52  test2/elvis_dir_record_449015/elvis_dir_lima_252141/elvis_dir_report_664539
  FILE  (resident)   ARCHIVE             0 2026-05-23 07:38:50  test2/elvis_dir_record_449015/elvis_dir_lima_252141/xbpt_alpha_delta_877195.json
  FILE  0x786        ARCHIVE        159126 2026-05-23 07:38:48  test2/elvis_dir_record_449015/elvis_dir_lima_252141/xbpt_index_draft_129088.bin
  FILE  (resident)   ARCHIVE             0 2026-05-23 07:38:51  test2/elvis_dir_record_449015/elvis_dir_lima_252141/xbpt_kilo_quebec_845728.bak
  FILE  (resident)   ARCHIVE             0 2026-05-23 07:38:50  test2/elvis_dir_record_449015/elvis_dir_lima_252141/xbpt_tango_record_232127.csv
  FILE  (resident)   ARCHIVE             0 2026-05-23 07:38:52  test2/elvis_dir_record_449015/elvis_dir_lima_252141/xbpt_temp_index_659152.xml
  FILE  (resident)   ARCHIVE             0 2026-05-23 07:38:50  test2/elvis_dir_record_449015/elvis_dir_lima_252141/xbpt_uniform_mike_713257.xml
  FILE  (resident)   ARCHIVE             0 2026-05-23 07:38:50  test2/elvis_dir_record_449015/elvis_dir_lima_252141/xbpt_yankee_report_288078.log
  DIR   0x798        DIRECTORY             2026-05-23 07:38:52  test2/elvis_dir_record_449015/elvis_dir_papa_104235
  DIR   0x77e        DIRECTORY             2026-05-23 07:38:52  test2/elvis_dir_record_449015/elvis_dir_papa_104235/elvis_dir_sync_718743
  DIR   0x77d        DIRECTORY             2026-05-23 07:38:53  test2/elvis_dir_record_449015/elvis_dir_papa_104235/elvis_dir_sync_718743/elvis_dir_gamma_109016
  DIR   0x79b        DIRECTORY             2026-05-23 07:38:48  test2/elvis_dir_record_449015/elvis_dir_papa_104235/elvis_dir_sync_718743/elvis_dir_gamma_109016/elvis_dir_archive_704644
  FILE  (resident)   ARCHIVE             0 2026-05-23 07:38:48  test2/elvis_dir_record_449015/elvis_dir_papa_104235/elvis_dir_sync_718743/elvis_dir_gamma_109016/elvis_dir_archive_704644/xbpt_uniform_oscar_320878.log
  DIR   0x77b        DIRECTORY             2026-05-23 07:38:52  test2/elvis_dir_record_449015/elvis_dir_papa_104235/elvis_dir_sync_718743/elvis_dir_gamma_109016/elvis_dir_config_541148
  FILE  (resident)   ARCHIVE             0 2026-05-23 07:38:46  test2/elvis_dir_record_449015/elvis_dir_papa_104235/elvis_dir_sync_718743/elvis_dir_gamma_109016/elvis_dir_config_541148/xbpt_config_archive_855545.dat
  FILE  (resident)   ARCHIVE             0 2026-05-23 07:38:47  test2/elvis_dir_record_449015/elvis_dir_papa_104235/elvis_dir_sync_718743/elvis_dir_gamma_109016/elvis_dir_config_541148/xbpt_data_victor_588744.ini
  FILE  (resident)   ARCHIVE             0 2026-05-23 07:38:52  test2/elvis_dir_record_449015/elvis_dir_papa_104235/elvis_dir_sync_718743/elvis_dir_gamma_109016/elvis_dir_config_541148/xbpt_delta_sierra_216359.bin
  FILE  (resident)   ARCHIVE             0 2026-05-23 07:38:51  test2/elvis_dir_record_449015/elvis_dir_papa_104235/elvis_dir_sync_718743/elvis_dir_gamma_109016/elvis_dir_config_541148/xbpt_hotel_data_899354.bak
  FILE  (resident)   ARCHIVE             0 2026-05-23 07:38:45  test2/elvis_dir_record_449015/elvis_dir_papa_104235/elvis_dir_sync_718743/elvis_dir_gamma_109016/elvis_dir_config_541148/xbpt_index_zulu_828859.bak
  FILE  (resident)   ARCHIVE             0 2026-05-23 07:38:48  test2/elvis_dir_record_449015/elvis_dir_papa_104235/elvis_dir_sync_718743/elvis_dir_gamma_109016/elvis_dir_config_541148/xbpt_lima_mike_622053.csv
  FILE  (resident)   ARCHIVE             0 2026-05-23 07:38:46  test2/elvis_dir_record_449015/elvis_dir_papa_104235/elvis_dir_sync_718743/elvis_dir_gamma_109016/elvis_dir_config_541148/xbpt_papa_audit_649170.md
  FILE  (resident)   ARCHIVE             0 2026-05-23 07:38:45  test2/elvis_dir_record_449015/elvis_dir_papa_104235/elvis_dir_sync_718743/elvis_dir_gamma_109016/elvis_dir_config_541148/xbpt_sierra_log_210965.log
  FILE  0x77a        ARCHIVE        414625 2026-05-23 07:38:45  test2/elvis_dir_record_449015/elvis_dir_papa_104235/elvis_dir_sync_718743/elvis_dir_gamma_109016/elvis_dir_config_541148/xbpt_tango_mike_573093.dat
  FILE  (resident)   ARCHIVE             0 2026-05-23 07:38:48  test2/elvis_dir_record_449015/elvis_dir_papa_104235/elvis_dir_sync_718743/elvis_dir_gamma_109016/elvis_dir_config_541148/xbpt_temp_audit_764882.bak
  FILE  (resident)   ARCHIVE             0 2026-05-23 07:38:46  test2/elvis_dir_record_449015/elvis_dir_papa_104235/elvis_dir_sync_718743/elvis_dir_gamma_109016/elvis_dir_config_541148/xbpt_uniform_alpha_203203.json
  FILE  (resident)   ARCHIVE             0 2026-05-23 07:38:51  test2/elvis_dir_record_449015/elvis_dir_papa_104235/elvis_dir_sync_718743/elvis_dir_gamma_109016/elvis_dir_config_541148/xbpt_whiskey_kilo_275488.json
  FILE  (resident)   ARCHIVE             0 2026-05-23 07:38:46  test2/elvis_dir_record_449015/elvis_dir_papa_104235/elvis_dir_sync_718743/elvis_dir_gamma_109016/elvis_dir_config_541148/xbpt_whiskey_romeo_757926.txt
  FILE  (resident)   ARCHIVE             0 2022-04-19 07:16:47  test2/elvis_dir_record_449015/elvis_dir_papa_104235/elvis_dir_sync_718743/elvis_dir_gamma_109016/elvis_dir_config_541148/xbpt_yankee_foxtrot_727835.bak
  DIR   0x791        DIRECTORY             2026-05-23 07:38:52  test2/elvis_dir_record_449015/elvis_dir_papa_104235/elvis_dir_sync_718743/elvis_dir_gamma_109016/elvis_dir_index_592790
  FILE  (resident)   ARCHIVE             0 2026-05-23 07:38:50  test2/elvis_dir_record_449015/elvis_dir_papa_104235/elvis_dir_sync_718743/elvis_dir_gamma_109016/elvis_dir_index_592790/xbpt_delta_delta_676812.xml
  FILE  (resident)   ARCHIVE             0 2026-05-23 07:38:47  test2/elvis_dir_record_449015/elvis_dir_papa_104235/elvis_dir_sync_718743/elvis_dir_gamma_109016/elvis_dir_index_592790/xbpt_draft_india_571157.ini
  DIR   0x78f        DIRECTORY             2026-05-23 07:38:52  test2/elvis_dir_record_449015/elvis_dir_papa_104235/elvis_dir_sync_718743/elvis_dir_gamma_109016/elvis_dir_zulu_984398
  DIR   0x782        DIRECTORY             2026-05-23 07:38:49  test2/elvis_dir_record_449015/elvis_dir_papa_104235/elvis_dir_sync_718743/elvis_dir_gamma_109016/elvis_dir_zulu_984398/elvis_dir_cache_558805
  DIR   0x78c        DIRECTORY             2026-05-23 07:38:51  test2/elvis_dir_record_449015/elvis_dir_papa_104235/elvis_dir_sync_718743/elvis_dir_gamma_109016/elvis_dir_zulu_984398/elvis_dir_cache_558805/elvis_dir_sierra_850083
  FILE  (resident)   ARCHIVE             0 2026-05-23 07:38:49  test2/elvis_dir_record_449015/elvis_dir_papa_104235/elvis_dir_sync_718743/elvis_dir_gamma_109016/elvis_dir_zulu_984398/elvis_dir_cache_558805/elvis_dir_sierra_850083/xbpt_yankee_echo_729349.tmp
  FILE  (resident)   ARCHIVE             0 2026-05-23 07:38:49  test2/elvis_dir_record_449015/elvis_dir_papa_104235/elvis_dir_sync_718743/elvis_dir_gamma_109016/elvis_dir_zulu_984398/elvis_dir_cache_558805/xbpt_alpha_delta_830163.ini
  FILE  (resident)   ARCHIVE             0 2026-05-23 07:38:47  test2/elvis_dir_record_449015/elvis_dir_papa_104235/elvis_dir_sync_718743/elvis_dir_gamma_109016/elvis_dir_zulu_984398/elvis_dir_cache_558805/xbpt_backup_draft_411674.log
  FILE  (resident)   ARCHIVE             0 2026-05-23 07:38:50  test2/elvis_dir_record_449015/elvis_dir_papa_104235/elvis_dir_sync_718743/elvis_dir_gamma_109016/elvis_dir_zulu_984398/elvis_dir_cache_558805/xbpt_delta_cache_147912.bin
  FILE  0x77a        ARCHIVE        239973 2026-05-23 07:38:47  test2/elvis_dir_record_449015/elvis_dir_papa_104235/elvis_dir_sync_718743/elvis_dir_gamma_109016/elvis_dir_zulu_984398/elvis_dir_cache_558805/xbpt_hardlink_audit_219848.cfg
  FILE  (resident)   ARCHIVE             0 2026-05-23 07:38:48  test2/elvis_dir_record_449015/elvis_dir_papa_104235/elvis_dir_sync_718743/elvis_dir_gamma_109016/elvis_dir_zulu_984398/elvis_dir_cache_558805/xbpt_log_backup_939898.json
  FILE  0x779        ARCHIVE        241654 2026-05-23 07:38:50  test2/elvis_dir_record_449015/elvis_dir_papa_104235/elvis_dir_sync_718743/elvis_dir_gamma_109016/elvis_dir_zulu_984398/elvis_dir_cache_558805/xbpt_report_audit_396522.txt
