==============================================================================
ReFS Directory Tree
==============================================================================
  Image:           win11refstestmftecmd.raw
  ReFS version:    3.14
  Cluster size:    0x1000
  Objects:         250
  Start OID:       0x600
  Start name:      Root Directory

  Total entries:   1744 (237 directories, 1507 files, 84 ADS)

  Type  OID          Attrs            Size Modified             Path
  FILE  (resident)   ARCHIVE             0 2026-05-23 07:34:04  test/elvis_dir_index_149423/elvis_dir_victor_121923/xbpt_zulu_papa_839258.bin
  FILE  0x741        ARCHIVE        310564 2023-11-27 07:16:30  test/elvis_dir_index_149423/xbpt_beta_archive_985685.tmp
  FILE  (resident)   ARCHIVE             0 2022-02-07 07:16:33  test/elvis_dir_index_149423/xbpt_config_sync_830891.tmp
  FILE  (resident)   ARCHIVE             0 2026-05-23 07:34:03  test/elvis_dir_index_149423/xbpt_draft_india_626576.tmp
  FILE  0x74d        ARCHIVE        239973 2026-05-23 07:34:01  test/elvis_dir_index_149423/xbpt_draft_record_749595.cfg
  FILE  (resident)   ARCHIVE             0 2026-05-23 07:34:01  test/elvis_dir_index_149423/xbpt_kilo_draft_550251.bin
  FILE  (resident)   ARCHIVE             0 2026-05-23 07:34:05  test/elvis_dir_index_149423/xbpt_papa_papa_899322.md
  FILE  (resident)   ARCHIVE             0 2026-05-23 07:34:04  test/elvis_dir_index_149423/xbpt_quebec_kilo_982841.tmp
  FILE  (resident)   ARCHIVE             0 2026-05-23 07:34:04  test/elvis_dir_index_149423/xbpt_sync_output_795963.bin
  FILE  0x743        ARCHIVE        306493 2026-05-23 07:33:59  test/elvis_dir_index_149423/xbpt_victor_gamma_564302.csv
  FILE  (resident)   ARCHIVE             0 2026-05-23 07:34:05  test/elvis_dir_index_149423/xbpt_yankee_draft_816830.dat
  FILE  0x74e        ARCHIVE        457030 2022-05-20 07:16:16  test/elvis_dir_index_149423/xbpt_zulu_kilo_319858.csv
  DIR   0x760        DIRECTORY             2026-05-23 07:34:06  test/elvis_dir_india_800575
  FILE  (resident)   ARCHIVE             0 2026-05-23 07:34:05  test/elvis_dir_india_800575/xbpt_beta_archive_202282.json
  FILE  (resident)   ARCHIVE             0 2026-05-23 07:34:02  test/elvis_dir_india_800575/xbpt_cache_index_408825.bin
  FILE  (resident)   ARCHIVE             0 2026-05-23 07:34:05  test/elvis_dir_india_800575/xbpt_cache_lima_454391.txt
  FILE  (resident)   ARCHIVE             0 2026-05-23 07:34:05  test/elvis_dir_india_800575/xbpt_delta_lima_807650.tmp
