
ReFS Parent-Child Table

------------------------------------------------------------------------------
Parent-Child Relationships
------------------------------------------------------------------------------
  Total entries:      238
  Unique parents:     111
  Unique children:    238
  Unique OIDs:        239
  Tree roots:         0x600

  Parent         → Child            Parent Name               → Child Name
  0x7b5          → 0x7e8            Dir/File (0x7b5)          → Dir/File (0x7e8)
  0x7b5          → 0x806            Dir/File (0x7b5)          → Object 0x806
  0x7b7          → 0x7bb            Dir/File (0x7b7)          → Dir/File (0x7bb)
  0x7b7          → 0x7cb            Dir/File (0x7b7)          → Dir/File (0x7cb)
  0x7b7          → 0x7cc            Dir/File (0x7b7)          → Dir/File (0x7cc)
  0x7b7          → 0x7e9            Dir/File (0x7b7)          → Dir/File (0x7e9)
  0x7b7          → 0x7ee            Dir/File (0x7b7)          → Dir/File (0x7ee)
  0x7b9          → 0x7b7            Dir/File (0x7b9)          → Dir/File (0x7b7)
  0x7b9          → 0x7da            Dir/File (0x7b9)          → Dir/File (0x7da)
  0x7b9          → 0x7e5            Dir/File (0x7b9)          → Dir/File (0x7e5)
  0x7b9          → 0x803            Dir/File (0x7b9)          → Object 0x803
  0x7b9          → 0x808            Dir/File (0x7b9)          → Object 0x808
  0x7b9          → 0x810            Dir/File (0x7b9)          → Object 0x810
  0x7ba          → 0x7be            Dir/File (0x7ba)          → Dir/File (0x7be)
  0x7bb          → 0x7c0            Dir/File (0x7bb)          → Dir/File (0x7c0)
  0x7bb          → 0x7c2            Dir/File (0x7bb)          → Dir/File (0x7c2)
  0x7bb          → 0x7d1            Dir/File (0x7bb)          → Dir/File (0x7d1)
  0x7bb          → 0x7d2            Dir/File (0x7bb)          → Dir/File (0x7d2)
  0x7bb          → 0x7fc            Dir/File (0x7bb)          → Dir/File (0x7fc)
  0x7bc          → 0x7d7            Dir/File (0x7bc)          → Dir/File (0x7d7)
  0x7bf          → 0x7db            Dir/File (0x7bf)          → Dir/File (0x7db)
  0x7bf          → 0x7f2            Dir/File (0x7bf)          → Dir/File (0x7f2)
  0x7c0          → 0x7e6            Dir/File (0x7c0)          → Dir/File (0x7e6)
  0x7c1          → 0x7ca            Dir/File (0x7c1)          → Dir/File (0x7ca)
  0x7c1          → 0x7d4            Dir/File (0x7c1)          → Dir/File (0x7d4)
  0x7c2          → 0x7ea            Dir/File (0x7c2)          → Dir/File (0x7ea)
  0x7c3          → 0x7ba            Dir/File (0x7c3)          → Dir/File (0x7ba)
  0x7c6          → 0x7dc            Dir/File (0x7c6)          → Dir/File (0x7dc)
  0x7c6          → 0x7ec            Dir/File (0x7c6)          → Dir/File (0x7ec)
  0x7c9          → 0x7c1            Dir/File (0x7c9)          → Dir/File (0x7c1)
  0x7cb          → 0x7eb            Dir/File (0x7cb)          → Dir/File (0x7eb)
  0x7cb          → 0x80f            Dir/File (0x7cb)          → Object 0x80f
  0x7cb          → 0x817            Dir/File (0x7cb)          → Object 0x817
  0x7cc          → 0x7e2            Dir/File (0x7cc)          → Dir/File (0x7e2)
  0x7cc          → 0x7e4            Dir/File (0x7cc)          → Dir/File (0x7e4)
  0x7cc          → 0x7ef            Dir/File (0x7cc)          → Dir/File (0x7ef)
  0x7cc          → 0x7fb            Dir/File (0x7cc)          → Dir/File (0x7fb)
  0x7cc          → 0x805            Dir/File (0x7cc)          → Object 0x805
  0x7cc          → 0x80e            Dir/File (0x7cc)          → Object 0x80e
  0x7d2          → 0x7b4            Dir/File (0x7d2)          → Dir/File (0x7b4)
  0x7d2          → 0x7d9            Dir/File (0x7d2)          → Dir/File (0x7d9)
  0x7d7          → 0x7dd            Dir/File (0x7d7)          → Dir/File (0x7dd)
  0x7d7          → 0x7e0            Dir/File (0x7d7)          → Dir/File (0x7e0)
  0x7dc          → 0x809            Dir/File (0x7dc)          → Object 0x809
  0x7dc          → 0x80a            Dir/File (0x7dc)          → Object 0x80a
  0x7e1          → 0x800            Dir/File (0x7e1)          → Object 0x800
  0x7e1          → 0x801            Dir/File (0x7e1)          → Object 0x801
  0x7e3          → 0x7f1            Dir/File (0x7e3)          → Dir/File (0x7f1)
  0x7e5          → 0x7fa            Dir/File (0x7e5)          → Dir/File (0x7fa)
  0x7e5          → 0x80b            Dir/File (0x7e5)          → Object 0x80b
  0x7e7          → 0x7f9            Dir/File (0x7e7)          → Dir/File (0x7f9)
  0x7e9          → 0x7bf            Dir/File (0x7e9)          → Dir/File (0x7bf)
  0x7e9          → 0x7e3            Dir/File (0x7e9)          → Dir/File (0x7e3)
  0x7e9          → 0x7ed            Dir/File (0x7e9)          → Dir/File (0x7ed)
  0x7e9          → 0x7f3            Dir/File (0x7e9)          → Dir/File (0x7f3)
  0x7e9          → 0x7ff            Dir/File (0x7e9)          → Dir/File (0x7ff)
  0x7e9          → 0x807            Dir/File (0x7e9)          → Object 0x807
  0x7ec          → 0x7b5            Dir/File (0x7ec)          → Dir/File (0x7b5)
  0x7ec          → 0x7f0            Dir/File (0x7ec)          → Dir/File (0x7f0)
  0x7ec          → 0x812            Dir/File (0x7ec)          → Object 0x812
  0x7ec          → 0x814            Dir/File (0x7ec)          → Object 0x814
  0x7ee          → 0x7fd            Dir/File (0x7ee)          → Dir/File (0x7fd)
  0x7ee          → 0x802            Dir/File (0x7ee)          → Object 0x802
  0x7f0          → 0x7bc            Dir/File (0x7f0)          → Dir/File (0x7bc)
  0x7f0          → 0x7f4            Dir/File (0x7f0)          → Dir/File (0x7f4)
  0x7f0          → 0x7f7            Dir/File (0x7f0)          → Dir/File (0x7f7)
  0x7f0          → 0x804            Dir/File (0x7f0)          → Object 0x804
  0x7f2          → 0x7f5            Dir/File (0x7f2)          → Dir/File (0x7f5)
  0x7f2          → 0x7f8            Dir/File (0x7f2)          → Dir/File (0x7f8)
  0x803          → 0x80c            Object 0x803              → Object 0x80c
  0x803          → 0x816            Object 0x803              → Object 0x816
  0x80b          → 0x80d            Object 0x80b              → Object 0x80d
  0x80b          → 0x811            Object 0x80b              → Object 0x811
  0x80c          → 0x815            Object 0x80c              → Object 0x815
  0x810          → 0x813            Object 0x810              → Object 0x813
  0x818          → 0x81d            Object 0x818              → Object 0x81d
  0x818          → 0x822            Object 0x818              → Object 0x822
  0x818          → 0x831            Object 0x818              → Object 0x831
  0x818          → 0x841            Object 0x818              → Object 0x841
  0x818          → 0x861            Object 0x818              → Object 0x861
  0x818          → 0x872            Object 0x818              → Object 0x872
  0x818          → 0x884            Object 0x818              → Object 0x884
  0x819          → 0x81f            Object 0x819              → Object 0x81f
  0x819          → 0x82d            Object 0x819              → Object 0x82d
  0x819          → 0x835            Object 0x819              → Object 0x835
  0x819          → 0x853            Object 0x819              → Object 0x853
  0x81a          → 0x82f            Object 0x81a              → Object 0x82f
  0x81a          → 0x848            Object 0x81a              → Object 0x848
  0x81a          → 0x855            Object 0x81a              → Object 0x855
  0x81a          → 0x874            Object 0x81a              → Object 0x874
  0x81a          → 0x883            Object 0x81a              → Object 0x883
  0x81b          → 0x81c            Object 0x81b              → Object 0x81c
  0x81b          → 0x82a            Object 0x81b              → Object 0x82a
  0x81c          → 0x83a            Object 0x81c              → Object 0x83a
  0x81c          → 0x864            Object 0x81c              → Object 0x864
  0x81d          → 0x81a            Object 0x81d              → Object 0x81a
  0x81d          → 0x81b            Object 0x81d              → Object 0x81b
  0x81e          → 0x843            Object 0x81e              → Object 0x843
  0x81e          → 0x868            Object 0x81e              → Object 0x868
  0x81f          → 0x856            Object 0x81f              → Object 0x856
  0x81f          → 0x869            Object 0x81f              → Object 0x869
  0x820          → 0x819            Object 0x820              → Object 0x819
  0x820          → 0x824            Object 0x820              → Object 0x824
  0x820          → 0x86f            Object 0x820              → Object 0x86f
  0x820          → 0x880            Object 0x820              → Object 0x880
