
ReFS Object ID Table

Total objects: 230

  OID      Name                             Root LCN
  0x7a7    Directory/File (0x7a7)            0x10e20
  0x7a8    Directory/File (0x7a8)            0x1382c
  0x7a9    Directory/File (0x7a9)            0x11400
  0x7ab    Directory/File (0x7ab)            0x11604
  0x7ac    Directory/File (0x7ac)            0x10040
  0x7ad    Directory/File (0x7ad)            0x12020
  0x7ae    Directory/File (0x7ae)            0x12028
  0x7af    Directory/File (0x7af)            0x11224
  0x7b0    Directory/File (0x7b0)            0x12010
  0x7b2    Directory/File (0x7b2)            0x12000
  0x7b3    Directory/File (0x7b3)            0x100d0
  0x7b4    Directory/File (0x7b4)            0x10600
  0x7b5    Directory/File (0x7b5)            0x11450
  0x7b6    Directory/File (0x7b6)            0x12e4c
  0x7b7    Directory/File (0x7b7)            0x11c18
  0x7b8    Directory/File (0x7b8)            0x12018
  0x7b9    Directory/File (0x7b9)            0x1260c
  0x7ba    Directory/File (0x7ba)            0x1140c
  0x7bb    Directory/File (0x7bb)            0x11448
  0x7bd    Directory/File (0x7bd)            0x10218
  0x7be    Directory/File (0x7be)            0x12030
  0x7bf    Directory/File (0x7bf)            0x12c08
  0x7c1    Directory/File (0x7c1)            0x11204
  0x7c2    Directory/File (0x7c2)            0x100c0
  0x7c3    Directory/File (0x7c3)            0x11a28
  0x7c4    Directory/File (0x7c4)            0x11614
  0x7c5    Directory/File (0x7c5)            0x1180c
  0x7c6    Directory/File (0x7c6)            0x1322c
  0x7c7    Directory/File (0x7c7)            0x12410
  0x7c8    Directory/File (0x7c8)            0x12a04
  0x7c9    Directory/File (0x7c9)            0x12c30
  0x7ca    Directory/File (0x7ca)            0x11a40
  0x7cb    Directory/File (0x7cb)            0x100c8
  0x7cc    Directory/File (0x7cc)            0x10624
  0x7cd    Directory/File (0x7cd)            0x13c18
  0x7ce    Directory/File (0x7ce)            0x13c20
  0x7cf    Directory/File (0x7cf)            0x12c34
  0x7d0    Directory/File (0x7d0)            0x11c0c
  0x7d1    Directory/File (0x7d1)            0x13820
  0x7d2    Directory/File (0x7d2)            0x1202c
  0x7d3    Directory/File (0x7d3)            0x11638
  0x7d5    Directory/File (0x7d5)            0x11228
  0x7d6    Directory/File (0x7d6)            0x12038
  0x7d7    Directory/File (0x7d7)            0x1221c
  0x7d8    Directory/File (0x7d8)            0x13e38
  0x7d9    Directory/File (0x7d9)            0x11e2c
  0x7da    Directory/File (0x7da)            0x11e30
  0x7db    Directory/File (0x7db)            0x13e08
  0x7dc    Directory/File (0x7dc)            0x1121c
  0x7dd    Directory/File (0x7dd)            0x13c30
  0x7de    Directory/File (0x7de)            0x10e14
  0x7df    Directory/File (0x7df)            0x13c34
  0x7e0    Directory/File (0x7e0)            0x11a1c
  0x7e1    Directory/File (0x7e1)            0x10614
