==============================================================================
ReFS MLog Analysis — win11refs2tspecials.raw
ReFS v3.14 | cluster_size=0x1000 | objects=230
==============================================================================

==============================================================================
MLog Control Area
==============================================================================
  Control PLCN:      0x30
  Signature:         MLog
  Format magic:      0x6dfbad7b (per-volume const, NOT a CRC — E42/#343; differs after a reformat)
  Version:           1
  Sector size:       0x1000
  UUID:              525a042c-58aa-4cca-a4f2-125f8bebb05f
  Sequence:          69
  Write counter:     2
  Flags:             0x1
  Total entries:     0
  Generation:        4995
  Data area:         0x8000 - 0x48000 (262144 clusters)
  LSN oldest:        0x1383.1
  Dispatch table:    v3.14 (44 opcodes)

==============================================================================
Data Area Summary
==============================================================================
  Total pages:       262144
  zero                 257150  ( 98.1%)
  MLog                   4994  (  1.9%)

==============================================================================
Redo Records
==============================================================================
  Total records:      7223
  Transaction starts: 2666
  Transaction commits: 0

     #  Opcode  Name                                             OID   Flags   Size
  ────  ──────  ────────────────────────────────────────  ──────────  ──────  ─────
    89  0x0007  RedoFree                                        0x11       S    328
    90  0x0007  RedoFree                                        0x11       S    328
    91  0x0007  RedoFree                                        0x11       S    328
    92  0x0007  RedoFree                                        0x11       S    328
    93  0x0007  RedoFree                                        0x11       S    328
    94  0x0007  RedoFree                                        0x11       S    328
    95  0x0007  RedoFree                                        0x11       S    328
    96  0x0007  RedoFree                                        0x11       S    328
    97  0x0007  RedoFree                                        0x11       S    328
    98  0x0007  RedoFree                                        0x11       S    328
    99  0x0007  RedoFree                                        0x11       S    328
   100  0x0007  RedoFree                                        0x11       S    328
   101  0x0007  RedoFree                                        0x11       S    328
   102  0x0007  RedoFree                                        0x11       S    328
   103  0x0007  RedoFree                                        0x11       S    328
   104  0x0007  RedoFree                                        0x11       S    328
   105  0x0007  RedoFree                                        0x11       S    328
   106  0x0007  RedoFree                                        0x11       S    328
   107  0x0007  RedoFree                                        0x11       S    328
   108  0x0007  RedoFree                                        0x11       S    328
   109  0x0007  RedoFree                                        0x11       S    328
   110  0x0007  RedoFree                                        0x11       S    328
   111  0x0007  RedoFree                                        0x11       S    328
   112  0x0007  RedoFree                                        0x11       S    328
   113  0x0007  RedoFree                                        0x11       S    328
   114  0x0007  RedoFree                                        0x11       S    328
   115  0x0007  RedoFree                                        0x11       S    328
   116  0x0007  RedoFree                                        0x11       S    328
   117  0x0007  RedoFree                                        0x11       S    328
   118  0x0007  RedoFree                                        0x11       S    328
   119  0x0007  RedoFree                                        0x11       S    328
   120  0x0007  RedoFree                                        0x11       S    328
   121  0x0007  RedoFree                                        0x11       S    328
   122  0x0007  RedoFree                                        0x11       S    328
