finding,ref_id,overlap,confidence
238,MD_SI_RA_013,5,med
239,GN_SNAP_SA_001,4,med
240,MD_SI_RA_008,9,high
241,MD_SI_RA_014,3,med
242,,2,low
243,,2,low
244,,2,low
245,FS_VBR_RA_012,4,med
246,MD_ATTR_RA_011,4,med
247,FS_VBR_RA_012,5,med
248,FS_PCTB_RA_001,4,med
249,FS_SNAP_RA_001,5,med
250,MD_SI_RA_002,11,high
251,MD_SI_RA_003,12,high
252,MD_SI_RA_002,5,med
253,MD_ATTR_RA_005,14,high
254,FS_SNAP_RA_001,10,high
255,MD_LK_RA_005,12,high
256,MD_LK_RA_006,11,high
257,MD_ATTR_RA_007,7,high
258,FS_SNAP_RA_001,4,med
259,MD_ATTR_RA_008,13,high
260,MD_SI_RA_005,5,med
261,MD_SI_RA_006,8,high
262,FS_SNAP_RA_001,3,med
263,MD_SI_RA_007,13,high
264,MD_SI_RA_008,10,high
265,MD_SI_RA_009,7,high
266,MD_SI_RA_010,5,med
267,MD_SI_RA_011,7,high
268,MD_ATTR_RA_009,20,high
269,MD_DATA_RA_008,11,high
270,MD_DATA_RA_009,13,high
271,MD_SNAP_RA_006,11,high
272,MD_ATTR_RA_010,6,high
273,MD_ATTR_RA_011,8,high
274,MD_ATTR_RA_012,15,high
275,MD_ATTR_RA_013,4,med
276,MD_ATTR_RA_014,11,high
277,FS_SNAP_RA_001,7,high
278,MD_ATTR_RA_015,14,high
279,MD_EFS_RA_005,13,high
280,MD_LK_RA_008,10,high
281,MD_LK_RA_009,8,high
282,MD_ATTR_RA_016,25,high
283,MD_ATTR_RA_017,13,high
284,FS_SNAP_RA_001,7,high
285,FN_DTBL_005,10,high
286,MD_SI_RA_010,17,high
287,MD_SI_RA_008,18,high
288,FS_REPS_RA_002,8,high
289,MD_ATTR_RA_010,9,high
290,FN_DTBL_003,8,high
291,FN_DTBL_003,5,med
292,MD_SI_RA_002,5,med
293,MD_SI_RA_013,34,high
294,MD_SI_RA_014,18,high
295,MD_SI_RA_015,20,high
296,FN_DTBL_005,18,high
297,MD_ATTR_RA_011,16,high
298,MD_DATA_RA_010,15,high
299,FN_DTBL_003,20,high
300,MD_EFS_RA_004,17,high
301,MD_SI_RA_012,6,high
302,FS_OTBL_RA_007,6,high
