ref_id,artifact,artifact_type,locus_type,locus,note
GN_PREF_001,proofs/static/parse_chkp__forefst.txt,static,function,parse_chkp,
GN_PREF_001,proofs/validation/GN_PREF_001.csv,matrix,all-rows,,
GN_PREF_002,proofs/static/parse_chkp__forefst.txt,static,function,parse_chkp,
GN_PREF_002,proofs/validation/GN_PREF_002.csv,matrix,all-rows,,
GN_PREF_003,proofs/static/parse_chkp__forefst.txt,static,function,parse_chkp,
GN_PREF_003,proofs/validation/GN_PREF_003.csv,matrix,all-rows,,
FS_SUPB_001,proofs/static/parse_supb__forefst.txt,static,function,parse_supb,
FS_SUPB_001,proofs/validation/FS_SUPB_001.csv,matrix,all-rows,,
GN_PAGE_007,proofs/static/build_object_map__forefst.txt,static,function,build_object_map,
GN_PAGE_007,proofs/validation/GN_PAGE_007.csv,matrix,all-rows,,
FS_VBR_009,proofs/static/parse_vbr__forefst.txt,static,function,parse_vbr,
FS_VBR_009,proofs/validation/FS_VBR_009.csv,matrix,all-rows,,
FS_CHKP_003,proofs/static/parse_chkp__forefst.txt,static,function,parse_chkp,
FS_CHKP_003,proofs/validation/FS_CHKP_003.csv,matrix,all-rows,,
FS_VBR_012,proofs/static/parse_vbr__forefst.txt,static,function,parse_vbr,
FS_VBR_012,proofs/validation/FS_VBR_012.csv,matrix,all-rows,,
FS_VBR_006,proofs/static/parse_vbr__forefst.txt,static,function,parse_vbr,
FS_VBR_006,proofs/validation/FS_VBR_006.csv,matrix,all-rows,,
FS_VBR_010,proofs/static/parse_vbr__forefst.txt,static,function,parse_vbr,
FS_VBR_010,proofs/validation/FS_VBR_010.csv,matrix,all-rows,,
FS_VBR_005,proofs/validation/FS_VBR_005.csv,matrix,all-rows,,
FS_SUPB_002,proofs/static/parse_supb__forefst.txt,static,function,parse_supb,
FS_SUPB_002,proofs/validation/FS_SUPB_002.csv,matrix,all-rows,,
FS_SUPB_006,proofs/static/parse_supb__forefst.txt,static,function,parse_supb,
FS_SUPB_006,proofs/validation/FS_SUPB_006.csv,matrix,all-rows,,
FS_CHKP_004,proofs/static/parse_chkp__forefst.txt,static,function,parse_chkp,
FS_CHKP_004,proofs/validation/FS_CHKP_004.csv,matrix,all-rows,,
FS_CHKP_005,proofs/static/parse_chkp__forefst.txt,static,function,parse_chkp,
FS_CHKP_005,proofs/validation/FS_CHKP_005.csv,matrix,all-rows,,
FS_CHKP_006,proofs/static/parse_chkp__forefst.txt,static,function,parse_chkp,
FS_CHKP_006,proofs/validation/FS_CHKP_006.csv,matrix,all-rows,,
FS_VINF_001,proofs/static/build_object_map__forefst.txt,static,function,build_object_map,
FS_VINF_001,proofs/validation/FS_VINF_001.csv,matrix,all-rows,,
FS_VINF_002,proofs/static/build_object_map__forefst.txt,static,function,build_object_map,
FS_VINF_002,proofs/validation/FS_VINF_002.csv,matrix,all-rows,,
FS_VINF_003,proofs/static/build_object_map__forefst.txt,static,function,build_object_map,
FS_VINF_003,proofs/validation/FS_VINF_003.csv,matrix,all-rows,,
FS_CHKP_RA_012,proofs/static/parse_chkp__forefst.txt,static,function,parse_chkp,
FS_CHKP_RA_012,proofs/validation/FS_CHKP_RA_012.csv,matrix,all-rows,,
FS_CHKP_RA_013,proofs/static/parse_chkp__forefst.txt,static,function,parse_chkp,
FS_CHKP_RA_013,proofs/validation/FS_CHKP_RA_013.csv,matrix,all-rows,,
FS_CHKP_RA_001,proofs/static/parse_chkp__forefst.txt,static,function,parse_chkp,
FS_CHKP_RA_001,proofs/validation/FS_CHKP_RA_001.csv,matrix,all-rows,,
FS_VBR_RA_004,proofs/validation/FS_VBR_RA_004.csv,matrix,all-rows,,
FS_SUPB_RA_005,proofs/static/parse_supb__forefst.txt,static,function,parse_supb,
FS_SUPB_RA_005,proofs/validation/FS_SUPB_RA_005.csv,matrix,all-rows,,
FS_OTBL_SA_004,proofs/static/MsSetMinimumNewObjectId__decomp.txt,static,function,MsSetMinimumNewObjectId,
FS_OTBL_SA_004,proofs/validation/FS_OTBL_SA_004.csv,matrix,all-rows,,
FS_OTBL_SA_006,proofs/static/MsInitializeWellKnownObjectId__decomp.txt,static,function,MsInitializeWellKnownObjectId,
FS_OTBL_SA_006,proofs/validation/FS_OTBL_SA_006.csv,matrix,all-rows,,
FS_OTBL_SA_007,proofs/static/MsGetObjectRecordPayload__decomp.txt,static,function,MsGetObjectRecordPayload,
FS_OTBL_SA_007,proofs/validation/FS_OTBL_SA_007.csv,matrix,all-rows,,
FS_VBR_SA_013,proofs/static/RefsIsBootSectorOurs__decomp.txt,static,function,RefsIsBootSectorOurs,
FS_VBR_SA_013,proofs/validation/FS_VBR_SA_013.csv,matrix,all-rows,,
FS_CHKP_RA_007,proofs/static/ReadLatestCheckpoint__decomp.txt,static,function,ReadLatestCheckpoint,
FS_CHKP_RA_007,proofs/validation/FS_CHKP_RA_007.csv,matrix,all-rows,,
FS_CHKP_RA_011,proofs/static/ValidateCheckpointRecord__decomp.txt,static,function,ValidateCheckpointRecord,
FS_CHKP_RA_011,proofs/validation/FS_CHKP_RA_011.csv,matrix,all-rows,,
FS_SUPB_RA_003,proofs/static/ChooseSuperBlock__decomp.txt,static,function,ChooseSuperBlock,
