path,basename,is_refs,version,cluster,checksum,state,vol_flags,serial,ext_guid,baseline_group,derived,independent,note
analysis/rawdisk/disks/step3b/win11refs2tmillionsofactions_beforesalvage.raw,win11refs2tmillionsofactions_beforesalvage.raw,True,3.14,4096,CRC64,native,0x66,0x62c63fe5c63fb85d,set,0x62c63fe5,True,False,
analysis/rawdisk/disks/step3b/win11refs2tmillionsofactionsv2.raw,win11refs2tmillionsofactionsv2.raw,True,3.14,4096,CRC64,native,0x66,0xaa2a19642a192f37,set,0xaa2a1964,False,True,
analysis/rawdisk/disks/step3b/win11refs8gtestcompression.raw,win11refs8gtestcompression.raw,True,3.14,4096,CRC64,flags=0x7b2,0x66,0x23eb83d3eb82b93,set,0x23eb83d3,False,True,
analysis/rawdisk/disks/step3b/win11refs8gtestcompression_afterdedup.raw,win11refs8gtestcompression_afterdedup.raw,True,3.14,4096,CRC64,flags=0x7b2,0x66,0x23eb83d3eb82b93,set,0x23eb83d3,True,False,
analysis/rawdisk/disks/step3b/win11refs8gtestcompression_beforelz4enabled.raw,win11refs8gtestcompression_beforelz4enabled.raw,True,3.14,4096,CRC64,native,0x66,0x23eb83d3eb82b93,set,0x23eb83d3,True,False,
analysis/rawdisk/disks/step3b/win11refs8gtestcompression_lz4enabled.raw,win11refs8gtestcompression_lz4enabled.raw,True,3.14,4096,CRC64,native,0x66,0x23eb83d3eb82b93,set,0x23eb83d3,False,True,
analysis/rawdisk/disks/step3b/win11refs8gtestcompression_lz4enableddifferentparams.raw,win11refs8gtestcompression_lz4enableddifferentparams.raw,True,3.14,4096,CRC64,native,0x66,0x23eb83d3eb82b93,set,0x23eb83d3,False,True,
analysis/rawdisk/disks/step3b/win11refs8gtestcompression_zstdenabled.raw,win11refs8gtestcompression_zstdenabled.raw,True,3.14,4096,CRC64,native,0x66,0x23eb83d3eb82b93,set,0x23eb83d3,False,True,
analysis/rawdisk/disks/step3b/win11refsbitlocked.raw,win11refsbitlocked.raw,False,,,,,,,,,False,False,no ReFS sig
analysis/rawdisk/disks/step3c/win11ntfs.raw,win11ntfs.raw,False,,,,,,,,,False,False,NTFS control
analysis/rawdisk/disks/step3c/win11refs2tmillionsofactions_aftersalvage_fixboottest.raw,win11refs2tmillionsofactions_aftersalvage_fixboottest.raw,True,3.14,4096,None,native,0x4,0x0,zero,0x0,True,False,
analysis/rawdisk/disks/step3c/win11refs4gbitlocked.raw,win11refs4gbitlocked.raw,False,,,,,,,,,False,False,BitLocker control
analysis/rawdisk/disks/step4/win10refsmini_testchecksum.raw,win10refsmini_testchecksum.raw,True,3.4,4096,None,original,0x6,0x8c12484912483a8a,zero,0x8c124849,False,True,
analysis/rawdisk/disks/step4/win10refsmini_testchecksum_corrupt.raw,win10refsmini_testchecksum_corrupt.raw,True,3.4,4096,None,original,0x6,0x8c12484912483a8a,zero,0x8c124849,True,False,
analysis/rawdisk/disks/step4/win1121h2test.raw,win1121h2test.raw,True,3.7,4096,None,original,0x26,0xd6b0fe3eb0fe2521,zero,0xd6b0fe3e,False,True,
analysis/rawdisk/disks/step4/win1122h2test.raw,win1122h2test.raw,True,3.9,4096,None,original,0x26,0x8ebc1a34bc1a1775,zero,0x8ebc1a34,False,True,
analysis/rawdisk/disks/step4/win1122h2test_afteropenedwithinsider.raw,win1122h2test_afteropenedwithinsider.raw,True,3.14,4096,None,upgraded,0x26,0x8ebc1a34bc1a1775,zero,0x8ebc1a34,True,False,
analysis/rawdisk/disks/step4/win1122h2test_testchecksum.raw,win1122h2test_testchecksum.raw,True,3.9,4096,None,original,0x26,0x8ebc1a34bc1a1775,zero,0x8ebc1a34,False,True,
analysis/rawdisk/disks/step4/win1123h2test.raw,win1123h2test.raw,True,3.10,4096,CRC64,flags=0x82,0x66,0xd4607668607650ea,set,0xd4607668,False,True,
