seq,timestamp,action,path,name,oid,opcodes,record_count,plcn,image
58,,MODIFY,/System Volume Information,,0x701,FREE,1,32901,win11refstestmftecmd.raw
59,,MODIFY,/System Volume Information,,0x701,FREE,1,32904,win11refstestmftecmd.raw
60,,MODIFY,/System Volume Information,,0x701,FREE,1,32907,win11refstestmftecmd.raw
61,,ALLOCATE,/System Volume Information,,0x701,ALLOCATE ALLOCATE,2,32908,win11refstestmftecmd.raw
62,,MODIFY,/System Volume Information,,0x701,FREE,1,32910,win11refstestmftecmd.raw
63,2026-05-23T06:32:43.572Z,CREATE,/System Volume Information,FVE2.{09cf57b8-9e6c-43d4-ae1f-0408882a397d}.2,0x701,INSERT_ROW INSERT_ROW SET_OBJECT ALLOCATE UPDATE_STREAM UPDATE_DATA_WITH,6,32911,win11refstestmftecmd.raw
64,,MODIFY,/System Volume Information,,0x701,FREE,1,32914,win11refstestmftecmd.raw
65,,MODIFY,/System Volume Information,,0x701,FREE,1,32917,win11refstestmftecmd.raw
66,,MODIFY,/System Volume Information,,0x701,FREE,1,32920,win11refstestmftecmd.raw
67,,MODIFY,/System Volume Information,,0x701,FREE,1,32923,win11refstestmftecmd.raw
68,,MODIFY,/System Volume Information,,0x701,FREE,1,32926,win11refstestmftecmd.raw
69,,MODIFY,/System Volume Information,,0x701,FREE,1,32929,win11refstestmftecmd.raw
70,,MODIFY,/System Volume Information,,0x701,FREE,1,32932,win11refstestmftecmd.raw
71,,MODIFY,/System Volume Information,,0x701,FREE,1,32935,win11refstestmftecmd.raw
