# forefst win11refstestmftecmd.raw timeline --limit 200
# ----------------------------------------------------------------------------
==============================================================================
ReFS Super-Timeline — win11refstestmftecmd.raw
==============================================================================
  Sources merged: USN=6805  MLog=1322  $SI-MACB=6976  (joined by OID, sorted by time)
  Caveat: USN and $SI carry exact FILETIMEs. MLog has NO wall-clock time — an MLog row's time is
          the affected object's embedded $SI birth (approximate; for a RENAME/MOVE it is the object
          birth, not the op time). MLog times that predate the volume are undated + marked.
          (16 MLog rows had an impossible pre-volume time → undated.)
------------------------------------------------------------------------------
  Timestamp (UTC)          Src    OID         Name/Path                   Event
  2022-04-19 07:16:47 UTC  $SI    —           test/elvis_dir_record_44…   Modified
  2022-04-19 07:16:47 UTC  $SI    —           test/elvis_dir_record_44…   Accessed
  2022-04-19 07:16:47 UTC  $SI    —           test2/elvis_dir_record_4…   Created
  2022-04-19 07:16:47 UTC  $SI    —           test2/elvis_dir_record_4…   Modified
  2022-04-19 07:16:47 UTC  $SI    —           test2/elvis_dir_record_4…   Accessed
  2022-05-20 07:16:16 UTC  $SI    —           test/elvis_dir_index_149…   Created
  2022-05-20 07:16:16 UTC  $SI    —           test/elvis_dir_index_149…   Modified
  2022-05-20 07:16:16 UTC  $SI    —           test/elvis_dir_index_149…   Accessed
  2022-05-20 07:16:16 UTC  $SI    —           test2/elvis_dir_index_14…   Created
  2022-05-20 07:16:16 UTC  $SI    —           test2/elvis_dir_index_14…   Modified
  2022-05-20 07:16:16 UTC  $SI    —           test2/elvis_dir_index_14…   Accessed
  2022-05-22 07:48:52 UTC  $SI    —           testintegrity/dir_romeo_…   Created
  2022-05-22 07:48:52 UTC  $SI    —           testintegrity/dir_romeo_…   Modified
  2022-05-22 07:48:52 UTC  $SI    —           testintegrity/dir_romeo_…   Accessed
  2022-05-31 07:17:29 UTC  $SI    —           test/elvis_dir_victor_78…   Created
  2022-05-31 07:17:29 UTC  $SI    —           test/elvis_dir_victor_78…   Modified
  2022-05-31 07:17:29 UTC  $SI    —           test/elvis_dir_victor_78…   Accessed
  2022-05-31 07:17:29 UTC  $SI    —           test2/elvis_dir_victor_7…   Created
  2022-05-31 07:17:29 UTC  $SI    —           test2/elvis_dir_victor_7…   Modified
  2022-05-31 07:17:29 UTC  $SI    —           test2/elvis_dir_victor_7…   Accessed
  2022-06-08 07:41:16 UTC  $SI    —           testspecials/dir_romeo_4…   Created
  2022-06-08 07:41:16 UTC  $SI    —           testspecials/dir_romeo_4…   Modified
  2022-06-08 07:41:16 UTC  $SI    —           testspecials/dir_romeo_4…   Accessed
  2022-06-11 07:16:28 UTC  $SI    —           test/elvis_dir_record_44…   Created
  2022-06-11 07:16:28 UTC  $SI    —           test2/elvis_dir_record_4…   Created
  2022-06-17 07:16:38 UTC  $SI    —           test/elvis_dir_record_44…   Created
  2022-06-17 07:16:38 UTC  $SI    —           test/elvis_dir_record_44…   Modified
  2022-06-17 07:16:38 UTC  $SI    —           test/elvis_dir_record_44…   Accessed
  2022-06-17 07:16:38 UTC  $SI    —           test2/elvis_dir_record_4…   Created
  2022-06-17 07:16:38 UTC  $SI    —           test2/elvis_dir_record_4…   Modified
  2022-06-17 07:16:38 UTC  $SI    —           test2/elvis_dir_record_4…   Accessed
  2022-07-05 07:39:53 UTC  $SI    —           testspecials/dir_echo_26…   Created
  2022-07-05 07:39:53 UTC  $SI    —           testspecials/dir_echo_26…   Created
  2022-07-05 07:39:53 UTC  $SI    —           testspecials/dir_echo_26…   Created
  2022-07-05 07:39:53 UTC  $SI    —           testspecials/dir_romeo_4…   Created
  2022-07-05 07:39:53 UTC  $SI    —           testspecials/dir_romeo_4…   Created
  2022-07-05 07:39:53 UTC  $SI    —           testspecials/dir_romeo_4…   Created
  2022-07-05 07:39:53 UTC  $SI    —           testspecials/dir_romeo_4…   Created
  2022-07-05 07:39:53 UTC  $SI    —           testspecials/dir_romeo_4…   Created
  2022-07-05 07:39:53 UTC  $SI    —           testspecials/dir_romeo_4…   Created
  2022-07-05 07:39:53 UTC  $SI    —           testspecials/dir_romeo_4…   Created
  2022-07-05 07:39:53 UTC  $SI    —           testspecials/dir_romeo_4…   Created
  2022-07-05 07:39:53 UTC  $SI    —           testspecials/xbpt_hardli…   Created
  2022-07-05 07:48:05 UTC  $SI    —           testintegrity/dir_gamma_…   Created
  2022-07-05 07:48:05 UTC  $SI    —           testintegrity/dir_gamma_…   Created
  2022-07-16 07:41:15 UTC  $SI    —           testspecials/dir_romeo_4…   Created
  2022-07-16 07:41:15 UTC  $SI    —           testspecials/dir_romeo_4…   Modified
  2022-07-16 07:41:15 UTC  $SI    —           testspecials/dir_romeo_4…   Accessed
  2022-08-02 07:16:28 UTC  $SI    —           test/elvis_dir_record_44…   Created
  2022-08-02 07:16:28 UTC  $SI    —           test2/elvis_dir_record_4…   Created
  2022-11-01 07:39:55 UTC  $SI    —           testspecials/dir_echo_26…   Created
  2022-11-01 07:39:55 UTC  $SI    —           testspecials/dir_romeo_4…   Created
  2022-11-01 07:39:55 UTC  $SI    —           testspecials/dir_romeo_4…   Modified
  2022-11-01 07:39:55 UTC  $SI    —           testspecials/dir_romeo_4…   Accessed
  2022-11-01 07:39:55 UTC  $SI    —           testspecials/dir_romeo_4…   Created
  2022-11-01 07:39:55 UTC  $SI    —           testspecials/xbpt_mike_m…   Created
  2022-12-26 07:16:15 UTC  $SI    —           test/elvis_dir_record_44…   Created
  2022-12-26 07:16:15 UTC  $SI    —           test/elvis_dir_record_44…   Modified
  2022-12-26 07:16:15 UTC  $SI    —           test/elvis_dir_record_44…   Accessed
  2022-12-26 07:16:15 UTC  $SI    —           test2/elvis_dir_record_4…   Created
  2022-12-26 07:16:15 UTC  $SI    —           test2/elvis_dir_record_4…   Modified
  2022-12-26 07:16:15 UTC  $SI    —           test2/elvis_dir_record_4…   Accessed
  2023-01-05 07:48:06 UTC  $SI    —           testintegrity/dir_gamma_…   Created
  2023-01-05 07:48:06 UTC  $SI    —           testintegrity/dir_romeo_…   Created
  2023-01-05 07:48:06 UTC  $SI    —           testintegrity/dir_romeo_…   Created
  2023-01-05 07:48:06 UTC  $SI    —           testintegrity/dir_tango_…   Created
  2023-01-05 07:48:06 UTC  $SI    —           testintegrity/xbpt_india…   Created
  2023-01-05 07:48:06 UTC  $SI    —           testintegrity/xbpt_india…   Modified
  2023-01-05 07:48:06 UTC  $SI    —           testintegrity/xbpt_india…   Accessed
  2023-01-31 07:49:20 UTC  $SI    —           testintegrity/dir_gamma_…   Created
  2023-01-31 07:49:20 UTC  $SI    —           testintegrity/dir_gamma_…   Modified
  2023-01-31 07:49:20 UTC  $SI    —           testintegrity/dir_gamma_…   Accessed
  2023-02-21 07:48:51 UTC  $SI    —           testintegrity/dir_gamma_…   Created
  2023-02-21 07:48:51 UTC  $SI    —           testintegrity/dir_gamma_…   Modified
  2023-02-21 07:48:51 UTC  $SI    —           testintegrity/dir_gamma_…   Accessed
  2023-02-26 07:47:56 UTC  $SI    —           testintegrity/dir_gamma_…   Created
  2023-02-26 07:47:56 UTC  $SI    —           testintegrity/dir_romeo_…   Created
  2023-02-26 07:47:56 UTC  $SI    —           testintegrity/dir_romeo_…   Created
  2023-03-25 07:40:58 UTC  $SI    —           testspecials/dir_romeo_4…   Created
  2023-03-25 07:40:58 UTC  $SI    —           testspecials/dir_romeo_4…   Modified
  2023-03-25 07:40:58 UTC  $SI    —           testspecials/dir_romeo_4…   Accessed
  2023-05-02 07:49:07 UTC  $SI    —           testintegrity/dir_gamma_…   Created
  2023-05-02 07:49:07 UTC  $SI    —           testintegrity/dir_gamma_…   Modified
  2023-05-02 07:49:07 UTC  $SI    —           testintegrity/dir_gamma_…   Accessed
  2023-07-08 07:39:50 UTC  $SI    —           testspecials/dir_romeo_4…   Created
  2023-08-09 07:47:55 UTC  $SI    —           testintegrity/dir_romeo_…   Created
